,1. open,2. high,3. low,4. close,5. volume
2020-01-02 10:25:00,278.0720,278.3850,277.8510,278.3040,20480
2020-01-02 10:30:00,278.2690,278.4130,277.9310,278.3140,9869
2020-01-02 10:35:00,278.2130,278.3740,277.8420,278.1260,25467
2020-01-02 10:40:00,278.0250,278.3240,277.8610,278.2580,30834
2020-01-02 10:45:00,278.2130,278.3750,277.8280,278.1730,21301
2020-01-02 10:50:00,278.1380,278.3570,277.9070,278.2950,11337
2020-01-02 10:55:00,278.2410,278.6760,278.1040,278.5480,23641
2020-01-02 11:00:00,278.4940,278.7000,278.2920,278.5330,13574
2020-01-02 11:05:00,278.4430,278.6760,278.2620,278.6140,13084
2020-01-02 11:10:00,278.4940,278.7130,278.3490,278.6510,11117
2020-01-02 11:15:00,278.5320,278.7040,278.2350,278.4630,23289
2020-01-02 11:20:00,278.3910,278.6570,278.2450,278.5860,9640
2020-01-02 11:25:00,278.5220,278.6760,278.2450,278.5190,17035
2020-01-02 11:30:00,278.4000,278.5490,277.8420,278.0980,31744
2020-01-02 11:35:00,278.0250,278.3000,277.7290,278.2390,32198
2020-01-02 11:40:00,278.1100,278.3100,277.9360,278.2480,18304
2020-01-02 11:45:00,278.2220,278.4040,278.0200,278.3110,12214
2020-01-02 11:50:00,278.2690,278.4810,278.1040,278.3890,14394
2020-01-02 11:55:00,278.2910,278.4690,278.0690,278.3940,10062
2020-01-02 12:00:00,278.2880,278.4410,278.0670,278.3790,5886
2020-01-02 12:05:00,278.3080,278.5260,278.1320,278.4640,9645
2020-01-02 12:10:00,278.3660,278.5330,278.1700,278.3890,3723
2020-01-02 12:15:00,278.3070,278.6010,278.1420,278.5380,16991
2020-01-02 12:20:00,278.4470,278.6480,278.2540,278.5250,34339
2020-01-02 12:25:00,278.4520,278.6480,278.2450,278.4640,20310
2020-01-02 12:30:00,278.3910,278.6100,278.2170,278.4830,132996
2020-01-02 12:35:00,278.4100,278.7130,278.2450,278.6370,61360
2020-01-02 12:40:00,278.5590,278.7790,278.4040,278.6330,32516
2020-01-02 12:45:00,278.6000,278.7440,278.3900,278.6420,9911
2020-01-02 12:50:00,278.5320,278.7260,278.3540,278.6420,6430
2020-01-02 12:55:00,278.5690,278.7230,278.4040,278.6420,5930
2020-01-02 13:00:00,278.5700,278.7140,278.2450,278.5200,14454
2020-01-02 13:05:00,278.4470,278.5910,278.2170,278.4480,10823
2020-01-02 13:10:00,278.3440,278.5050,278.1790,278.4090,11128
2020-01-02 13:15:00,278.3300,278.4960,278.1600,278.3790,5927
2020-01-02 13:20:00,278.2970,278.5350,278.1510,278.4590,8599
2020-01-02 13:25:00,278.3720,278.5160,278.1420,278.4170,20105
2020-01-02 13:30:00,278.3440,278.4880,278.1430,278.3760,6474
2020-01-02 13:35:00,278.2780,278.4630,278.0950,278.3950,73997
2020-01-02 13:40:00,278.3070,278.4510,278.0950,278.3420,9231
2020-01-02 13:45:00,278.2780,278.5630,278.1380,278.4730,13452
2020-01-02 13:50:00,278.3950,278.5390,278.1310,278.3610,12102
2020-01-02 13:55:00,278.2780,278.5350,278.1420,278.4730,4936
2020-01-02 14:00:00,278.3910,278.6290,278.2260,278.5670,12167
2020-01-02 14:05:00,278.4570,278.6480,278.3010,278.5670,16163
2020-01-02 14:10:00,278.4940,278.6840,278.3290,278.6050,6884
2020-01-02 14:15:00,278.5420,278.7320,278.3530,278.6550,10623
2020-01-02 14:20:00,278.5880,278.8630,278.4510,278.7970,14268
2020-01-02 14:25:00,278.7280,278.9010,278.5480,278.8110,11313
2020-01-02 14:30:00,278.7100,278.8890,278.5570,278.8020,9448
2020-01-02 14:35:00,278.7150,278.9480,278.5730,278.8300,24232
2020-01-02 14:40:00,278.7430,279.1020,278.6060,279.0360,19515
2020-01-02 14:45:00,278.9440,279.1070,278.7260,279.0360,21739
2020-01-02 14:50:00,278.9490,279.1600,278.7980,279.0270,42751
2020-01-02 14:55:00,278.9350,279.1260,278.7600,279.0250,25230
2020-01-02 15:00:00,278.9630,279.1350,278.7980,279.0590,6661
2020-01-02 15:05:00,278.9820,279.1260,278.7670,278.9980,11682
2020-01-02 15:10:00,278.9160,279.1730,278.7790,279.0770,16793
2020-01-02 15:15:00,278.9880,279.1880,278.7980,279.0170,19204
2020-01-02 15:20:00,278.9440,279.1920,278.8070,279.1110,9446
2020-01-02 15:25:00,279.0430,279.1880,278.8540,279.1010,9690
2020-01-02 15:30:00,279.0290,279.2850,278.8390,279.2240,14091
2020-01-02 15:35:00,279.1410,279.3140,278.9660,279.2140,29546
2020-01-02 15:40:00,279.1410,279.3790,278.9900,279.2890,95586
2020-01-02 15:45:00,279.1950,279.3980,279.0040,279.2890,23827
2020-01-02 15:50:00,279.2540,279.7360,279.1160,279.6740,55334
2020-01-02 15:55:00,279.6380,279.9890,279.3320,279.9180,147384
2020-01-02 16:00:00,279.8440,280.0360,279.6040,279.8800,57251
2020-01-02 16:05:00,279.7970,280.0170,279.6600,279.9550,546
2020-01-02 16:10:00,279.8820,280.0270,279.7440,279.9650,544
2020-01-02 16:15:00,279.8630,280.1300,279.7260,280.0680,19948
2020-01-02 16:40:00,279.9190,280.0640,279.7820,280.0020,169
2020-01-02 16:45:00,280.0600,280.2050,279.9220,280.1430,100
2020-01-02 17:15:00,280.0880,280.2330,279.9510,280.1710,304
2020-01-02 17:40:00,280.0690,280.2140,279.9320,280.1520,544
2020-01-02 17:45:00,280.1720,280.3170,280.0350,280.2550,100
2020-01-02 18:00:00,280.0790,280.2240,279.9410,280.1620,100
2020-01-02 18:05:00,280.1160,280.2610,279.9790,280.1990,1800
2020-01-02 18:10:00,280.2190,280.3640,280.0820,280.3020,3000
2020-01-02 18:20:00,280.1540,280.2990,280.0160,280.2370,500
2020-01-02 18:40:00,280.1260,280.2710,279.9880,280.2080,372
2020-01-02 18:45:00,280.1070,280.2520,279.9690,280.1900,454
2020-01-02 18:50:00,280.0970,280.2420,279.9410,280.1620,876
2020-01-02 19:00:00,280.0600,280.2050,279.9220,280.1430,133
2020-01-02 19:35:00,280.0410,280.1860,279.9040,280.1240,300
2020-01-02 19:45:00,280.0790,280.2240,279.9410,280.1620,1000
2020-01-02 19:50:00,280.0790,280.2240,279.9410,280.1620,616
2020-01-03 04:00:00,277.0220,277.1650,276.8860,277.1040,1008
2020-01-03 04:05:00,276.9380,277.0810,276.8020,277.0190,800
2020-01-03 04:10:00,276.7880,276.9310,276.6520,276.8690,1100
2020-01-03 04:15:00,276.9190,277.0620,276.7830,277.0010,1200
