,date,positivity_weighted,neutrality_weighted,negativity_weighted,compound_weighted
93,2005-09-28,0.0,0.0,0.0,0.0
94,2005-09-30,0.0,0.0,0.0,0.0
95,2005-10-04,0.0,0.0,0.0,0.0
96,2005-10-06,0.009214002011058642,0.04816838380254906,0.0,0.0172783670739485
97,2005-10-07,0.0,0.0,0.0,0.0
98,2005-10-10,0.0,0.0,0.0,0.0
99,2005-10-11,0.0015122976284903257,0.007880855343499273,0.0,0.003392806853482644
100,2005-10-12,0.0024951395284829943,0.014712719288641105,0.0,0.005093526209868734
101,2005-10-18,0.0,0.0,0.0,0.0
102,2005-10-19,0.0,0.0,0.0,0.0
103,2005-10-20,0.0,0.023564257616204,0.0,0.0
104,2005-10-24,0.0,0.0,0.0,0.0
105,2005-10-25,0.0,0.0,0.0,0.0
106,2005-10-26,0.0,0.0,0.0,0.0
107,2005-10-27,0.0053418440054697,0.0286029643380981,0.0,0.011460080245274748
108,2005-11-01,0.0,0.0,0.0,0.0
109,2005-11-04,0.0,0.0,0.0,0.0
110,2005-11-07,0.0,0.0,0.0,0.0
111,2005-11-15,0.0,0.040316741210212004,0.0,0.0
112,2005-11-16,0.002986123978212876,0.013603453678525322,0.0,0.008470638351530526
113,2005-11-17,0.0,0.026025346878233678,0.0060088856921320195,-0.01472530458436588
114,2005-11-18,0.0,0.0,0.0,0.0
115,2005-11-21,0.0,0.0,0.0,0.0
116,2005-11-28,0.0,0.0,0.0,0.0
117,2005-11-29,0.0,0.0,0.0,0.0
118,2005-12-02,0.0,0.0,0.0,0.0
119,2005-12-05,0.0,0.0254189130795821,0.0,0.0
120,2005-12-07,0.0,0.0,0.0,0.0
121,2005-12-08,0.0,0.0,0.0,0.0
122,2005-12-13,0.0,0.0,0.0,0.0
123,2005-12-15,0.0,0.0,0.0,0.0
124,2005-12-21,0.0,0.0,0.0,0.0
125,2006-01-06,0.0,0.0,0.0,0.0
126,2006-01-10,0.0,0.0,0.0,0.0
127,2006-01-11,0.0,0.0,0.0,0.0
128,2006-01-18,0.005334436233308471,0.011873422583815628,0.0,0.006569960496377981
129,2006-01-20,0.0029414815670421404,0.00911377075690106,0.0,0.0053091331234645855
130,2006-01-23,0.003234967643063949,0.013354610013674252,0.0,0.0029512858651337256
131,2006-01-24,0.0,0.0394032335512878,0.0,0.0
132,2006-01-25,0.007863459809293906,0.008726117847444294,0.0,0.01094414438015019
133,2006-01-31,0.0,0.0,0.0,0.0
134,2006-02-02,0.0,0.0,0.0,0.0
135,2006-02-07,0.003447802164647755,0.008607450159295444,0.0,0.005081288854542058
136,2006-02-13,0.0,0.0,0.0,0.0
137,2006-02-14,0.0,0.0,0.0,0.0
138,2006-02-15,0.0064090869829809315,0.013250689038432968,0.0,0.013767741147796154
139,2006-02-17,0.0,0.010152821525923778,0.006436756130814422,-0.0037542214237198546
140,2006-02-23,0.0,0.0,0.0,0.0
141,2006-02-24,0.0,0.0,0.0,0.0
142,2006-02-28,0.0038201446574015504,0.013387714159722551,0.0,0.004301964704281025
143,2006-03-02,0.004991045746758976,0.012160314207739224,0.0,0.00980886275797752
144,2006-03-06,0.0,0.0084699749541617,0.0,0.0
145,2006-03-08,0.0,0.0165895776567382,0.0,0.0
146,2006-03-10,0.0,0.0,0.0,0.0
147,2006-03-14,0.0,0.034160824408950075,0.001458685531197127,-0.004995696563042062
148,2006-03-17,0.0,0.0,0.0,0.0
149,2006-03-20,0.0,0.0,0.0,0.0
150,2006-03-22,0.0,0.0196597760214139,0.0,0.0
151,2006-03-23,0.0,0.0,0.0,0.0
152,2006-03-28,0.0,0.0,0.0,0.0
153,2006-03-29,0.004581780901323014,0.012773449785506584,0.0,0.010845283656199817
154,2006-03-31,0.001578270052536518,0.008410780912884481,0.0,0.004582976582935154
155,2006-04-05,0.004138281948007812,0.027895950622357887,0.0,0.012627480615644237
156,2006-04-06,0.0,0.0,0.0,0.0
157,2006-04-10,0.0,0.0,0.0,0.0
158,2006-04-11,0.0,0.0,0.0,0.0
159,2006-04-13,0.0,0.0,0.0,0.0
160,2006-04-17,0.002873712422459725,0.014334146394664375,0.0,0.005093526209868734
161,2006-04-19,0.0,0.0,0.0,0.0
162,2006-04-20,0.0,0.0,0.0,0.0
163,2006-04-21,0.0,0.0,0.0,0.0
164,2006-04-24,0.0,0.0,0.0,0.0
165,2006-04-27,0.0,0.0165895776567382,0.0,0.0
166,2006-05-01,0.0013721359425741954,0.007097839011587503,0.0,0.004037637060648882
167,2006-05-03,0.0,0.0,0.0,0.0
168,2006-05-04,0.0,0.0,0.0,0.0
169,2006-05-08,0.0,0.0,0.0,0.0
170,2006-05-10,0.0,0.0,0.0,0.0
171,2006-05-12,0.0,0.0,0.0,0.0
172,2006-05-13,0.0,0.0,0.0,0.0
173,2006-05-17,0.0,0.0,0.0,0.0
174,2006-05-18,0.0,0.0,0.0,0.0
175,2006-05-19,0.0,0.0,0.0,0.0
176,2006-05-23,0.0,0.0,0.0,0.0
177,2006-05-24,0.0,0.0,0.0,0.0
178,2006-05-26,0.0,0.0,0.0,0.0
179,2006-05-31,0.0,0.0,0.0,0.0
180,2006-06-08,0.0,0.0,0.0,0.0
181,2006-06-12,0.0,0.0,0.0,0.0
182,2006-06-13,0.0,0.0093931529719896,0.0,0.0
183,2006-06-14,0.001061732970031245,0.015527844686706956,0.0,0.001280715395100189
184,2006-06-19,0.0,0.0,0.0,0.0
185,2006-06-20,0.0,0.0,0.0,0.0
186,2006-06-27,0.0,0.0,0.0,0.0
187,2006-06-29,0.008948086584904532,0.008259772232219569,0.0,0.01153786933688171
188,2006-06-30,0.0027433913971977738,0.026134412783831426,0.0,0.00918891729040349
189,2006-07-06,0.0,0.0,0.0,0.0
190,2006-07-10,0.0,0.0,0.0,0.0
191,2006-07-11,0.0,0.0211330321354556,0.0,0.0
192,2006-07-12,0.0,0.0,0.0,0.0
193,2006-07-20,0.0,0.0196597760214139,0.0,0.0
194,2006-07-24,0.0,0.0,0.0,0.0
195,2006-07-27,0.006291128326852448,0.013368647694561453,0.0,0.011243425906646608
196,2006-08-04,0.0,0.0,0.0,0.0
197,2006-08-10,0.0,0.0,0.0,0.0
198,2006-08-21,0.0,0.0,0.0,0.0
199,2006-08-24,0.0,0.0051889808683565734,0.0010402878811711258,-0.0009537010455526909
200,2006-08-29,0.0,0.0,0.0,0.0
201,2006-09-01,0.0,0.0,0.0,0.0
202,2006-09-08,0.0,0.0084699749541617,0.0,0.0
203,2006-09-14,0.0,0.0,0.0,0.0
204,2006-09-18,0.0036703910302626147,0.00915882621570204,0.004322142708533546,-0.0021953740741757696
205,2006-09-19,0.0032831825955761213,0.033731824112667376,0.0,0.005819293702338513
206,2006-09-20,0.0,0.0,0.0,0.0
207,2006-09-22,0.0,0.0,0.0,0.0
208,2006-09-25,0.0,0.014318065316634418,0.0030371653701951797,-0.009141000002753148
