;ADS_Index
1978:02:03;-0.546729
1978:02:04;-0.463964
1978:02:05;-0.383303
1978:02:06;-0.303928
1978:02:07;-0.225808
1978:02:08;-0.148914
1978:02:09;-0.0732156
1978:02:10;0.00131738
1978:02:11;0.0747137
1978:02:12;0.147002
1978:02:13;0.220228
1978:02:14;0.29442
1978:02:15;0.369608
1978:02:16;0.445819
1978:02:17;0.523086
1978:02:18;0.601436
1978:02:19;0.680902
1978:02:20;0.756493
1978:02:21;0.828241
1978:02:22;0.896172
1978:02:23;0.960313
1978:02:24;1.02069
1978:02:25;1.07732
1978:02:26;1.13024
1978:02:27;1.18133
1978:02:28;1.23062
1978:03:01;1.27812
1978:03:02;1.32483
1978:03:03;1.37077
1978:03:04;1.41597
1978:03:05;1.46044
1978:03:06;1.50511
1978:03:07;1.55
1978:03:08;1.59514
1978:03:09;1.64054
1978:03:10;1.68622
1978:03:11;1.73219
1978:03:12;1.77847
1978:03:13;1.8244
1978:03:14;1.87001
1978:03:15;1.9153
1978:03:16;1.96029
1978:03:17;2.00501
1978:03:18;2.04946
1978:03:19;2.09367
1978:03:20;2.13768
1978:03:21;2.1815
1978:03:22;2.22515
1978:03:23;2.26865
1978:03:24;2.31201
1978:03:25;2.35525
1978:03:26;2.3984
1978:03:27;2.44193
1978:03:28;2.48586
1978:03:29;2.53022
1978:03:30;2.57501
1978:03:31;2.62027
1978:04:01;2.666
1978:04:02;2.70744
1978:04:03;2.74528
1978:04:04;2.77952
1978:04:05;2.81019
1978:04:06;2.8373
1978:04:07;2.86084
1978:04:08;2.88084
1978:04:09;2.8973
1978:04:10;2.90809
1978:04:11;2.91321
1978:04:12;2.91267
1978:04:13;2.90645
1978:04:14;2.89457
1978:04:15;2.87701
1978:04:16;2.85377
1978:04:17;2.82686
1978:04:18;2.79626
1978:04:19;2.76197
1978:04:20;2.72397
1978:04:21;2.68224
1978:04:22;2.63678
1978:04:23;2.58755
1978:04:24;2.5343
1978:04:25;2.47699
1978:04:26;2.41561
1978:04:27;2.35013
1978:04:28;2.28052
1978:04:29;2.20676
1978:04:30;2.12883
1978:05:01;2.04685
1978:05:02;1.9686
1978:05:03;1.89403
1978:05:04;1.82312
1978:05:05;1.75584
1978:05:06;1.69217
1978:05:07;1.63208
1978:05:08;1.57452
1978:05:09;1.51946
1978:05:10;1.46688
1978:05:11;1.41676
1978:05:12;1.36908
1978:05:13;1.32383
1978:05:14;1.28098
1978:05:15;1.24155
1978:05:16;1.20553
1978:05:17;1.17291
1978:05:18;1.14367
1978:05:19;1.1178
1978:05:20;1.09529
1978:05:21;1.07613
1978:05:22;1.05905
1978:05:23;1.04403
1978:05:24;1.03109
1978:05:25;1.0202
1978:05:26;1.01137
1978:05:27;1.00458
1978:05:28;0.999853
1978:05:29;0.997507
1978:05:30;0.997545
1978:05:31;0.999969
1978:06:01;1.00478
1978:06:02;1.00724
1978:06:03;1.00736
1978:06:04;1.00513
1978:06:05;1.00186
1978:06:06;0.99753
1978:06:07;0.992154
1978:06:08;0.985726
1978:06:09;0.978241
1978:06:10;0.969698
1978:06:11;0.960094
1978:06:12;0.948266
1978:06:13;0.93421
1978:06:14;0.91792
1978:06:15;0.899391
1978:06:16;0.878614
1978:06:17;0.855582
1978:06:18;0.830286
1978:06:19;0.803096
1978:06:20;0.774001
1978:06:21;0.74299
1978:06:22;0.710051
1978:06:23;0.675171
1978:06:24;0.638336
1978:06:25;0.599533
1978:06:26;0.55935
1978:06:27;0.517773
1978:06:28;0.474786
1978:06:29;0.430371
1978:06:30;0.384511
1978:07:01;0.337189
1978:07:02;0.293193
1978:07:03;0.252042
1978:07:04;0.21372
1978:07:05;0.178213
1978:07:06;0.145505
1978:07:07;0.115585
1978:07:08;0.0884413
1978:07:09;0.0640626
1978:07:10;0.0418868
1978:07:11;0.0219052
1978:07:12;0.00411021
1978:07:13;-0.0115053
1978:07:14;-0.0249473
1978:07:15;-0.0362211
1978:07:16;-0.0453311
1978:07:17;-0.0522478
1978:07:18;-0.056974
1978:07:19;-0.0595115
1978:07:20;-0.0598612
1978:07:21;-0.0580233
1978:07:22;-0.0539971
1978:07:23;-0.0477811
1978:07:24;-0.0393711
1978:07:25;-0.028764
1978:07:26;-0.0159556
1978:07:27;-0.000940833
1978:07:28;0.0162861
1978:07:29;0.0357318
1978:07:30;0.057404
1978:07:31;0.0823182
1978:08:01;0.110484
1978:08:02;0.138109
1978:08:03;0.165203
1978:08:04;0.191777
1978:08:05;0.217842
1978:08:06;0.243407
1978:08:07;0.267171
1978:08:08;0.289143
1978:08:09;0.309331
1978:08:10;0.327743
1978:08:11;0.344386
1978:08:12;0.359267
1978:08:13;0.372392
1978:08:14;0.383763
1978:08:15;0.393386
1978:08:16;0.401263
1978:08:17;0.407398
1978:08:18;0.411793
1978:08:19;0.41445
1978:08:20;0.415371
1978:08:21;0.414587
1978:08:22;0.4121
1978:08:23;0.407908
1978:08:24;0.402009
1978:08:25;0.394402
1978:08:26;0.385082
1978:08:27;0.374047
1978:08:28;0.36082
1978:08:29;0.345396
1978:08:30;0.327767
1978:08:31;0.307929
1978:09:01;0.285872
1978:09:02;0.264546
1978:09:03;0.243942
1978:09:04;0.226001
1978:09:05;0.210716
1978:09:06;0.198081
1978:09:07;0.188091
1978:09:08;0.180741
1978:09:09;0.17603
1978:09:10;0.173956
1978:09:11;0.172781
1978:09:12;0.172505
1978:09:13;0.173129
1978:09:14;0.174653
1978:09:15;0.177077
1978:09:16;0.180401
1978:09:17;0.184629
1978:09:18;0.190469
1978:09:19;0.197924
1978:09:20;0.206997
1978:09:21;0.217692
1978:09:22;0.230013
1978:09:23;0.243964
1978:09:24;0.259551
1978:09:25;0.276523
1978:09:26;0.294887
1978:09:27;0.314649
1978:09:28;0.335818
1978:09:29;0.358402
1978:09:30;0.382409
1978:10:01;0.407849
1978:10:02;0.43349
1978:10:03;0.459343
1978:10:04;0.485418
1978:10:05;0.511724
1978:10:06;0.538272
1978:10:07;0.565073
1978:10:08;0.592137
1978:10:09;0.617176
1978:10:10;0.6402
1978:10:11;0.661218
1978:10:12;0.680239
1978:10:13;0.69727
1978:10:14;0.712318
1978:10:15;0.725387
1978:10:16;0.738678
1978:10:17;0.752193
1978:10:18;0.76594
1978:10:19;0.779923
1978:10:20;0.794148
1978:10:21;0.80862
1978:10:22;0.823344
1978:10:23;0.836378
1978:10:24;0.847725
1978:10:25;0.85739
1978:10:26;0.865377
1978:10:27;0.871689
1978:10:28;0.876328
1978:10:29;0.879297
1978:10:30;0.881611
1978:10:31;0.883273
1978:11:01;0.884283
1978:11:02;0.884566
1978:11:03;0.884125
1978:11:04;0.882957
1978:11:05;0.881063
1978:11:06;0.877809
1978:11:07;0.873194
1978:11:08;0.867216
1978:11:09;0.859873
1978:11:10;0.851162
1978:11:11;0.841079
1978:11:12;0.82962
1978:11:13;0.819061
1978:11:14;0.809398
1978:11:15;0.800626
1978:11:16;0.792743
1978:11:17;0.785745
1978:11:18;0.779629
1978:11:19;0.774394
1978:11:20;0.769128
1978:11:21;0.76383
1978:11:22;0.758497
1978:11:23;0.753128
1978:11:24;0.74772
1978:11:25;0.742271
1978:11:26;0.736779
1978:11:27;0.731303
1978:11:28;0.725841
1978:11:29;0.720389
1978:11:30;0.714947
1978:12:01;0.709512
1978:12:02;0.703806
1978:12:03;0.697827
1978:12:04;0.689285
1978:12:05;0.678176
1978:12:06;0.664496
1978:12:07;0.648239
1978:12:08;0.6294
1978:12:09;0.60797
1978:12:10;0.583942
1978:12:11;0.558874
1978:12:12;0.532757
1978:12:13;0.50558
1978:12:14;0.477332
1978:12:15;0.448003
1978:12:16;0.417581
1978:12:17;0.386054
1978:12:18;0.353479
1978:12:19;0.319841
1978:12:20;0.285129
1978:12:21;0.249329
1978:12:22;0.212426
1978:12:23;0.174406
1978:12:24;0.135255
1978:12:25;0.0949754
1978:12:26;0.0535525
1978:12:27;0.0109698
1978:12:28;-0.0327894
1978:12:29;-0.0777421
1978:12:30;-0.123906
1978:12:31;-0.171299
1979:01:01;-0.220194
1979:01:02;-0.266364
1979:01:03;-0.309825
1979:01:04;-0.350595
1979:01:05;-0.388689
1979:01:06;-0.424123
1979:01:07;-0.456911
1979:01:08;-0.485644
1979:01:09;-0.510335
1979:01:10;-0.530992
1979:01:11;-0.547625
1979:01:12;-0.560239
1979:01:13;-0.568839
1979:01:14;-0.573429
1979:01:15;-0.577951
1979:01:16;-0.582408
1979:01:17;-0.586801
1979:01:18;-0.591131
1979:01:19;-0.595402
1979:01:20;-0.599613
1979:01:21;-0.603767
1979:01:22;-0.605222
1979:01:23;-0.603979
1979:01:24;-0.600038
1979:01:25;-0.593397
1979:01:26;-0.584053
1979:01:27;-0.572004
1979:01:28;-0.557243
1979:01:29;-0.539702
1979:01:30;-0.519375
1979:01:31;-0.496254
1979:02:01;-0.470329
1979:02:02;-0.443904
1979:02:03;-0.416969
1979:02:04;-0.389514
1979:02:05;-0.361272
1979:02:06;-0.332233
1979:02:07;-0.302385
1979:02:08;-0.271717
1979:02:09;-0.240216
1979:02:10;-0.207871
1979:02:11;-0.174669
1979:02:12;-0.140692
1979:02:13;-0.105926
1979:02:14;-0.0703594
1979:02:15;-0.0339769
1979:02:16;0.00323525
1979:02:17;0.0412917
1979:02:18;0.0802072
1979:02:19;0.119361
1979:02:20;0.158767
1979:02:21;0.198442
1979:02:22;0.238401
1979:02:23;0.27866
1979:02:24;0.319234
1979:02:25;0.360139
1979:02:26;0.401507
1979:02:27;0.443353
1979:02:28;0.485694
1979:03:01;0.528546
1979:03:02;0.56594
1979:03:03;0.597891
1979:03:04;0.62441
1979:03:05;0.646111
1979:03:06;0.663002
1979:03:07;0.675089
1979:03:08;0.682378
1979:03:09;0.68487
1979:03:10;0.682568
1979:03:11;0.675469
1979:03:12;0.663034
1979:03:13;0.645256
1979:03:14;0.62213
1979:03:15;0.593645
1979:03:16;0.559791
1979:03:17;0.520555
1979:03:18;0.475921
1979:03:19;0.425741
1979:03:20;0.369994
1979:03:21;0.308658
1979:03:22;0.241711
1979:03:23;0.169126
1979:03:24;0.0908739
1979:03:25;0.00692504
1979:03:26;-0.0822423
1979:03:27;-0.176663
1979:03:28;-0.276373
1979:03:29;-0.381413
1979:03:30;-0.491822
1979:03:31;-0.607644
1979:04:01;-0.728924
1979:04:02;-0.838189
1979:04:03;-0.93548
1979:04:04;-1.02084
1979:04:05;-1.09429
1979:04:06;-1.15587
1979:04:07;-1.2056
1979:04:08;-1.2435
1979:04:09;-1.2746
1979:04:10;-1.29891
1979:04:11;-1.31644
1979:04:12;-1.3272
1979:04:13;-1.33119
1979:04:14;-1.32841
1979:04:15;-1.31886
1979:04:16;-1.30552
1979:04:17;-1.28839
1979:04:18;-1.26746
1979:04:19;-1.24272
1979:04:20;-1.21416
1979:04:21;-1.18177
1979:04:22;-1.14554
1979:04:23;-1.10334
1979:04:24;-1.05515
1979:04:25;-1.00097
1979:04:26;-0.940756
1979:04:27;-0.874497
1979:04:28;-0.802164
1979:04:29;-0.72373
1979:04:30;-0.638139
1979:05:01;-0.545358
1979:05:02;-0.456975
1979:05:03;-0.372955
1979:05:04;-0.293265
1979:05:05;-0.217874
1979:05:06;-0.146754
1979:05:07;-0.0800476
1979:05:08;-0.01773
1979:05:09;0.0402234
1979:05:10;0.0938353
1979:05:11;0.143127
1979:05:12;0.188116
1979:05:13;0.228822
1979:05:14;0.26578
1979:05:15;0.299004
1979:05:16;0.328507
1979:05:17;0.354301
1979:05:18;0.376396
1979:05:19;0.394801
1979:05:20;0.409522
1979:05:21;0.420625
1979:05:22;0.428114
1979:05:23;0.431992
1979:05:24;0.432261
1979:05:25;0.428921
1979:05:26;0.421971
1979:05:27;0.411408
1979:05:28;0.396499
1979:05:29;0.377239
1979:05:30;0.35362
1979:05:31;0.325634
1979:06:01;0.293269
1979:06:02;0.260763
1979:06:03;0.228104
1979:06:04;0.197136
1979:06:05;0.167846
1979:06:06;0.140224
1979:06:07;0.114258
1979:06:08;0.0899394
1979:06:09;0.0672574
1979:06:10;0.0462035
1979:06:11;0.0248434
1979:06:12;0.00316885
1979:06:13;-0.0188286
1979:06:14;-0.0411576
1979:06:15;-0.0638268
1979:06:16;-0.0868451
1979:06:17;-0.110221
1979:06:18;-0.132103
1979:06:19;-0.152498
1979:06:20;-0.171415
1979:06:21;-0.188861
1979:06:22;-0.204842
1979:06:23;-0.219366
1979:06:24;-0.232437
1979:06:25;-0.245756
1979:06:26;-0.259328
1979:06:27;-0.273158
1979:06:28;-0.287251
1979:06:29;-0.301614
1979:06:30;-0.31625
1979:07:01;-0.331168
1979:07:02;-0.345891
1979:07:03;-0.360426
1979:07:04;-0.374779
1979:07:05;-0.388955
1979:07:06;-0.40296
1979:07:07;-0.416798
1979:07:08;-0.430477
1979:07:09;-0.443967
1979:07:10;-0.457275
1979:07:11;-0.470406
1979:07:12;-0.483364
1979:07:13;-0.496155
1979:07:14;-0.508783
1979:07:15;-0.521255
1979:07:16;-0.532364
1979:07:17;-0.542115
1979:07:18;-0.550512
1979:07:19;-0.557559
1979:07:20;-0.563258
1979:07:21;-0.56761
1979:07:22;-0.570619
1979:07:23;-0.573882
1979:07:24;-0.577401
1979:07:25;-0.581177
1979:07:26;-0.585212
1979:07:27;-0.589506
1979:07:28;-0.594062
1979:07:29;-0.598882
1979:07:30;-0.602401
1979:07:31;-0.604619
1979:08:01;-0.605539
1979:08:02;-0.605108
1979:08:03;-0.603327
1979:08:04;-0.600195
1979:08:05;-0.595711
1979:08:06;-0.592188
1979:08:07;-0.589625
1979:08:08;-0.588021
1979:08:09;-0.587375
1979:08:10;-0.587688
1979:08:11;-0.588959
1979:08:12;-0.591188
1979:08:13;-0.593189
1979:08:14;-0.594964
1979:08:15;-0.596511
1979:08:16;-0.597833
1979:08:17;-0.59893
1979:08:18;-0.599801
1979:08:19;-0.600448
1979:08:20;-0.60078
1979:08:21;-0.600796
1979:08:22;-0.600497
1979:08:23;-0.599883
1979:08:24;-0.598953
1979:08:25;-0.597707
1979:08:26;-0.596145
1979:08:27;-0.594442
1979:08:28;-0.592597
1979:08:29;-0.590609
1979:08:30;-0.588478
1979:08:31;-0.586203
1979:09:01;-0.583783
1979:09:02;-0.580928
1979:09:03;-0.578088
1979:09:04;-0.575261
1979:09:05;-0.572447
1979:09:06;-0.569644
1979:09:07;-0.566851
1979:09:08;-0.564067
1979:09:09;-0.561292
1979:09:10;-0.557766
1979:09:11;-0.553488
1979:09:12;-0.548456
1979:09:13;-0.542669
1979:09:14;-0.536124
1979:09:15;-0.528819
1979:09:16;-0.520751
1979:09:17;-0.511993
1979:09:18;-0.502542
1979:09:19;-0.492394
1979:09:20;-0.481546
1979:09:21;-0.469992
1979:09:22;-0.45773
1979:09:23;-0.444753
1979:09:24;-0.431131
1979:09:25;-0.416861
1979:09:26;-0.401935
1979:09:27;-0.386348
1979:09:28;-0.370094
1979:09:29;-0.353166
1979:09:30;-0.335559
1979:10:01;-0.316345
1979:10:02;-0.297404
1979:10:03;-0.278726
1979:10:04;-0.260306
1979:10:05;-0.242136
1979:10:06;-0.224209
1979:10:07;-0.206518
1979:10:08;-0.190867
1979:10:09;-0.177252
1979:10:10;-0.165667
1979:10:11;-0.156107
1979:10:12;-0.148568
1979:10:13;-0.143047
1979:10:14;-0.139544
1979:10:15;-0.136628
1979:10:16;-0.1343
1979:10:17;-0.132559
1979:10:18;-0.131404
1979:10:19;-0.130833
1979:10:20;-0.130849
1979:10:21;-0.131449
1979:10:22;-0.133569
1979:10:23;-0.137209
1979:10:24;-0.142371
1979:10:25;-0.149057
1979:10:26;-0.157269
1979:10:27;-0.16701
1979:10:28;-0.178285
1979:10:29;-0.190891
1979:10:30;-0.204831
1979:10:31;-0.220113
1979:11:01;-0.236741
1979:11:02;-0.253126
1979:11:03;-0.269274
1979:11:04;-0.285192
1979:11:05;-0.299907
1979:11:06;-0.313427
1979:11:07;-0.325755
1979:11:08;-0.336898
1979:11:09;-0.346858
1979:11:10;-0.355641
1979:11:11;-0.363249
1979:11:12;-0.369805
1979:11:13;-0.375312
1979:11:14;-0.379771
1979:11:15;-0.383185
1979:11:16;-0.385554
1979:11:17;-0.38688
1979:11:18;-0.387164
1979:11:19;-0.387831
1979:11:20;-0.388884
1979:11:21;-0.390322
1979:11:22;-0.392145
1979:11:23;-0.394355
1979:11:24;-0.396953
1979:11:25;-0.399939
1979:11:26;-0.402522
1979:11:27;-0.404704
1979:11:28;-0.406485
1979:11:29;-0.407866
1979:11:30;-0.408848
1979:12:01;-0.409431
1979:12:02;-0.409354
1979:12:03;-0.40875
1979:12:04;-0.407619
1979:12:05;-0.405961
1979:12:06;-0.403774
1979:12:07;-0.401058
1979:12:08;-0.397813
1979:12:09;-0.394035
1979:12:10;-0.389859
1979:12:11;-0.385282
1979:12:12;-0.380302
1979:12:13;-0.374917
1979:12:14;-0.369126
1979:12:15;-0.362926
1979:12:16;-0.356315
1979:12:17;-0.346397
1979:12:18;-0.333169
1979:12:19;-0.316625
1979:12:20;-0.29676
1979:12:21;-0.273565
1979:12:22;-0.247032
1979:12:23;-0.217149
1979:12:24;-0.188465
1979:12:25;-0.160968
1979:12:26;-0.134647
1979:12:27;-0.109491
1979:12:28;-0.0854922
1979:12:29;-0.0626398
1979:12:30;-0.0409253
1979:12:31;-0.019967
1980:01:01;0.000243354
1980:01:02;0.0173852
1980:01:03;0.0314652
1980:01:04;0.0424889
1980:01:05;0.0504607
1980:01:06;0.0553835
1980:01:07;0.0592566
1980:01:08;0.0620816
1980:01:09;0.0638594
1980:01:10;0.0645908
1980:01:11;0.0642761
1980:01:12;0.0629152
1980:01:13;0.0605075
1980:01:14;0.0584185
1980:01:15;0.0566475
1980:01:16;0.0551936
1980:01:17;0.0540564
1980:01:18;0.0532353
1980:01:19;0.0527302
1980:01:20;0.0525407
1980:01:21;0.0493262
1980:01:22;0.0430853
1980:01:23;0.0338158
1980:01:24;0.0215138
1980:01:25;0.00617467
1980:01:26;-0.0122076
1980:01:27;-0.0336402
1980:01:28;-0.0570142
1980:01:29;-0.0823388
1980:01:30;-0.109624
1980:01:31;-0.13888
1980:02:01;-0.170119
1980:02:02;-0.201527
1980:02:03;-0.233118
1980:02:04;-0.263628
1980:02:05;-0.293069
1980:02:06;-0.321453
1980:02:07;-0.34879
1980:02:08;-0.375091
1980:02:09;-0.400367
1980:02:10;-0.424626
1980:02:11;-0.449276
1980:02:12;-0.474325
1980:02:13;-0.499782
1980:02:14;-0.525659
1980:02:15;-0.551965
1980:02:16;-0.57871
1980:02:17;-0.605905
1980:02:18;-0.632556
1980:02:19;-0.658671
1980:02:20;-0.684263
1980:02:21;-0.709341
1980:02:22;-0.733914
1980:02:23;-0.757992
1980:02:24;-0.781585
1980:02:25;-0.806152
1980:02:26;-0.831702
1980:02:27;-0.858246
1980:02:28;-0.885793
1980:02:29;-0.914354
1980:03:01;-0.943941
1980:03:02;-0.975579
1980:03:03;-1.00806
1980:03:04;-1.04141
1980:03:05;-1.07562
1980:03:06;-1.11072
1980:03:07;-1.14673
1980:03:08;-1.18364
1980:03:09;-1.22148
1980:03:10;-1.26006
1980:03:11;-1.2994
1980:03:12;-1.3395
1980:03:13;-1.38038
1980:03:14;-1.42206
1980:03:15;-1.46456
1980:03:16;-1.50789
1980:03:17;-1.55259
1980:03:18;-1.59867
1980:03:19;-1.64614
1980:03:20;-1.69504
1980:03:21;-1.74538
1980:03:22;-1.79717
1980:03:23;-1.85044
1980:03:24;-1.90358
1980:03:25;-1.95661
1980:03:26;-2.00955
1980:03:27;-2.06241
1980:03:28;-2.11523
1980:03:29;-2.16801
1980:03:30;-2.22079
1980:03:31;-2.27588
1980:04:01;-2.3333
1980:04:02;-2.39071
1980:04:03;-2.44814
1980:04:04;-2.50561
1980:04:05;-2.56314
1980:04:06;-2.62075
1980:04:07;-2.67442
1980:04:08;-2.72416
1980:04:09;-2.76999
1980:04:10;-2.81194
1980:04:11;-2.85002
1980:04:12;-2.88424
1980:04:13;-2.91461
1980:04:14;-2.94452
1980:04:15;-2.97398
1980:04:16;-3.00299
1980:04:17;-3.03157
1980:04:18;-3.05973
1980:04:19;-3.08748
1980:04:20;-3.11483
1980:04:21;-3.14131
1980:04:22;-3.16693
1980:04:23;-3.19171
1980:04:24;-3.21565
1980:04:25;-3.23876
1980:04:26;-3.26105
1980:04:27;-3.28253
1980:04:28;-3.30348
1980:04:29;-3.32391
1980:04:30;-3.34382
1980:05:01;-3.36323
1980:05:02;-3.38078
1980:05:03;-3.39647
1980:05:04;-3.41032
1980:05:05;-3.42143
1980:05:06;-3.42981
1980:05:07;-3.43544
1980:05:08;-3.43835
1980:05:09;-3.43852
1980:05:10;-3.43596
1980:05:11;-3.43067
1980:05:12;-3.42207
1980:05:13;-3.41014
1980:05:14;-3.3949
1980:05:15;-3.37632
1980:05:16;-3.35441
1980:05:17;-3.32915
1980:05:18;-3.30054
1980:05:19;-3.27103
1980:05:20;-3.24059
1980:05:21;-3.20922
1980:05:22;-3.17691
1980:05:23;-3.14365
1980:05:24;-3.10941
1980:05:25;-3.0742
1980:05:26;-3.03685
1980:05:27;-2.99734
1980:05:28;-2.95567
1980:05:29;-2.91182
1980:05:30;-2.86577
1980:05:31;-2.8175
1980:06:01;-2.767
1980:06:02;-2.71804
1980:06:03;-2.67061
1980:06:04;-2.6247
1980:06:05;-2.58028
1980:06:06;-2.53733
1980:06:07;-2.49584
1980:06:08;-2.4558
1980:06:09;-2.41677
1980:06:10;-2.37875
1980:06:11;-2.34172
1980:06:12;-2.30567
1980:06:13;-2.27058
1980:06:14;-2.23643
1980:06:15;-2.20322
1980:06:16;-2.16979
1980:06:17;-2.13613
1980:06:18;-2.10224
1980:06:19;-2.06809
1980:06:20;-2.03367
1980:06:21;-1.99897
1980:06:22;-1.96398
1980:06:23;-1.92769
1980:06:24;-1.8901
1980:06:25;-1.85118
1980:06:26;-1.81093
1980:06:27;-1.76932
1980:06:28;-1.72635
1980:06:29;-1.68198
1980:06:30;-1.63958
1980:07:01;-1.59912
1980:07:02;-1.56
1980:07:03;-1.52221
1980:07:04;-1.48573
1980:07:05;-1.45054
1980:07:06;-1.41664
1980:07:07;-1.38394
1980:07:08;-1.35244
1980:07:09;-1.32212
1980:07:10;-1.29297
1980:07:11;-1.26498
1980:07:12;-1.23814
1980:07:13;-1.21243
1980:07:14;-1.18427
1980:07:15;-1.15365
1980:07:16;-1.12055
1980:07:17;-1.08496
1980:07:18;-1.04687
1980:07:19;-1.00626
1980:07:20;-0.96311
1980:07:21;-0.919281
1980:07:22;-0.87475
1980:07:23;-0.829501
1980:07:24;-0.783517
1980:07:25;-0.736778
1980:07:26;-0.689268
1980:07:27;-0.640967
1980:07:28;-0.590924
1980:07:29;-0.53912
1980:07:30;-0.485533
1980:07:31;-0.430144
1980:08:01;-0.372931
1980:08:02;-0.315804
1980:08:03;-0.258741
1980:08:04;-0.203784
1980:08:05;-0.150912
1980:08:06;-0.100104
1980:08:07;-0.0513401
1980:08:08;-0.00460168
1980:08:09;0.0401296
1980:08:10;0.0828713
1980:08:11;0.124898
1980:08:12;0.166226
1980:08:13;0.206872
1980:08:14;0.24685
1980:08:15;0.286178
1980:08:16;0.32487
1980:08:17;0.362942
1980:08:18;0.400204
1980:08:19;0.43667
1980:08:20;0.472355
1980:08:21;0.507273
1980:08:22;0.541438
1980:08:23;0.574863
1980:08:24;0.60756
1980:08:25;0.63969
1980:08:26;0.671265
1980:08:27;0.702298
1980:08:28;0.732801
1980:08:29;0.762785
1980:08:30;0.792263
1980:08:31;0.821245
1980:09:01;0.850614
1980:09:02;0.880397
1980:09:03;0.910605
1980:09:04;0.94125
1980:09:05;0.972345
1980:09:06;1.0039
1980:09:07;1.03593
1980:09:08;1.06722
1980:09:09;1.09778
1980:09:10;1.12762
1980:09:11;1.15675
1980:09:12;1.18519
1980:09:13;1.21294
1980:09:14;1.24002
1980:09:15;1.26608
1980:09:16;1.29113
1980:09:17;1.31517
1980:09:18;1.33821
1980:09:19;1.36027
1980:09:20;1.38135
1980:09:21;1.40147
1980:09:22;1.42173
1980:09:23;1.44216
1980:09:24;1.46276
1980:09:25;1.48353
1980:09:26;1.50449
1980:09:27;1.52564
1980:09:28;1.547
1980:09:29;1.56862
1980:09:30;1.59053
1980:10:01;1.61272
1980:10:02;1.63398
1980:10:03;1.65432
1980:10:04;1.67374
1980:10:05;1.69225
1980:10:06;1.70925
1980:10:07;1.72473
1980:10:08;1.73871
1980:10:09;1.75119
1980:10:10;1.76217
1980:10:11;1.77166
1980:10:12;1.77966
1980:10:13;1.78586
1980:10:14;1.79024
1980:10:15;1.79281
1980:10:16;1.79358
1980:10:17;1.79254
1980:10:18;1.78969
1980:10:19;1.78503
1980:10:20;1.77922
1980:10:21;1.77224
1980:10:22;1.76409
1980:10:23;1.75477
1980:10:24;1.74428
1980:10:25;1.73261
1980:10:26;1.71976
1980:10:27;1.70606
1980:10:28;1.69152
1980:10:29;1.67612
1980:10:30;1.65985
1980:10:31;1.64272
1980:11:01;1.62472
1980:11:02;1.60663
1980:11:03;1.58785
1980:11:04;1.56837
1980:11:05;1.54818
1980:11:06;1.52728
1980:11:07;1.50566
1980:11:08;1.48331
1980:11:09;1.46021
1980:11:10;1.43778
1980:11:11;1.41601
1980:11:12;1.39488
1980:11:13;1.37439
1980:11:14;1.35453
1980:11:15;1.3353
1980:11:16;1.31668
1980:11:17;1.29646
1980:11:18;1.27464
1980:11:19;1.2512
1980:11:20;1.22614
1980:11:21;1.19945
1980:11:22;1.17112
1980:11:23;1.14112
1980:11:24;1.11135
1980:11:25;1.08179
1980:11:26;1.05242
1980:11:27;1.02323
1980:11:28;0.994212
1980:11:29;0.965357
1980:11:30;0.936652
1980:12:01;0.907627
1980:12:02;0.879072
1980:12:03;0.850977
1980:12:04;0.82333
1980:12:05;0.796121
1980:12:06;0.76934
1980:12:07;0.742975
1980:12:08;0.716684
1980:12:09;0.690455
1980:12:10;0.664279
1980:12:11;0.638146
1980:12:12;0.612046
1980:12:13;0.585967
1980:12:14;0.559901
1980:12:15;0.533901
1980:12:16;0.507959
1980:12:17;0.482064
1980:12:18;0.456206
1980:12:19;0.430375
1980:12:20;0.40456
1980:12:21;0.378752
1980:12:22;0.352376
1980:12:23;0.325422
1980:12:24;0.297879
1980:12:25;0.269737
1980:12:26;0.240984
1980:12:27;0.211609
1980:12:28;0.181602
1980:12:29;0.151994
1980:12:30;0.122774
1980:12:31;0.0939307
1981:01:01;0.0654529
1981:01:02;0.038077
1981:01:03;0.0117921
1981:01:04;-0.0134118
1981:01:05;-0.0376428
1981:01:06;-0.0609101
1981:01:07;-0.083223
1981:01:08;-0.10459
1981:01:09;-0.12502
1981:01:10;-0.14452
1981:01:11;-0.163098
1981:01:12;-0.181083
1981:01:13;-0.198481
1981:01:14;-0.215299
1981:01:15;-0.231543
1981:01:16;-0.247221
1981:01:17;-0.262338
1981:01:18;-0.2769
1981:01:19;-0.292142
1981:01:20;-0.308071
1981:01:21;-0.324692
1981:01:22;-0.342011
1981:01:23;-0.360037
1981:01:24;-0.378775
1981:01:25;-0.398233
1981:01:26;-0.416295
1981:01:27;-0.432969
1981:01:28;-0.44826
1981:01:29;-0.462175
1981:01:30;-0.474719
1981:01:31;-0.485898
1981:02:01;-0.495714
1981:02:02;-0.504538
1981:02:03;-0.512373
1981:02:04;-0.519222
1981:02:05;-0.525087
1981:02:06;-0.529972
1981:02:07;-0.533877
1981:02:08;-0.536805
1981:02:09;-0.538667
1981:02:10;-0.539464
1981:02:11;-0.539197
1981:02:12;-0.537865
1981:02:13;-0.535467
1981:02:14;-0.532004
1981:02:15;-0.527473
1981:02:16;-0.521323
1981:02:17;-0.513552
1981:02:18;-0.504157
