;ADS_Index
1960:11:01;-1.68834
1960:11:02;-1.73327
1960:11:03;-1.7771
1960:11:04;-1.81984
1960:11:05;-1.86153
1960:11:06;-1.90216
1960:11:07;-1.94177
1960:11:08;-1.98036
1960:11:09;-2.01795
1960:11:10;-2.05455
1960:11:11;-2.09018
1960:11:12;-2.12485
1960:11:13;-2.15858
1960:11:14;-2.19138
1960:11:15;-2.22325
1960:11:16;-2.25423
1960:11:17;-2.2843
1960:11:18;-2.3135
1960:11:19;-2.34182
1960:11:20;-2.36929
1960:11:21;-2.3959
1960:11:22;-2.42168
1960:11:23;-2.44662
1960:11:24;-2.47075
1960:11:25;-2.49407
1960:11:26;-2.51659
1960:11:27;-2.53831
1960:11:28;-2.55925
1960:11:29;-2.57942
1960:11:30;-2.59882
1960:12:01;-2.61746
1960:12:02;-2.63301
1960:12:03;-2.64546
1960:12:04;-2.65484
1960:12:05;-2.66114
1960:12:06;-2.66435
1960:12:07;-2.6645
1960:12:08;-2.66156
1960:12:09;-2.65555
1960:12:10;-2.64646
1960:12:11;-2.63429
1960:12:12;-2.61903
1960:12:13;-2.60068
1960:12:14;-2.57922
1960:12:15;-2.55466
1960:12:16;-2.52698
1960:12:17;-2.49617
1960:12:18;-2.46222
1960:12:19;-2.42511
1960:12:20;-2.38483
1960:12:21;-2.34137
1960:12:22;-2.29471
1960:12:23;-2.24483
1960:12:24;-2.19171
1960:12:25;-2.13532
1960:12:26;-2.07566
1960:12:27;-2.01269
1960:12:28;-1.94639
1960:12:29;-1.87673
1960:12:30;-1.8037
1960:12:31;-1.72725
1961:01:01;-1.64735
1961:01:02;-1.57064
1961:01:03;-1.49707
1961:01:04;-1.42661
1961:01:05;-1.35924
1961:01:06;-1.29494
1961:01:07;-1.23368
1961:01:08;-1.17542
1961:01:09;-1.12016
1961:01:10;-1.06787
1961:01:11;-1.01853
1961:01:12;-0.972116
1961:01:13;-0.928615
1961:01:14;-0.888008
1961:01:15;-0.850281
1961:01:16;-0.815417
1961:01:17;-0.783404
1961:01:18;-0.75423
1961:01:19;-0.727881
1961:01:20;-0.70435
1961:01:21;-0.683625
1961:01:22;-0.6657
1961:01:23;-0.650567
1961:01:24;-0.63822
1961:01:25;-0.628654
1961:01:26;-0.621866
1961:01:27;-0.617853
1961:01:28;-0.616614
1961:01:29;-0.618148
1961:01:30;-0.622455
1961:01:31;-0.629537
1961:02:01;-0.639398
1961:02:02;-0.647321
1961:02:03;-0.653311
1961:02:04;-0.65737
1961:02:05;-0.659499
1961:02:06;-0.659698
1961:02:07;-0.657969
1961:02:08;-0.65431
1961:02:09;-0.64872
1961:02:10;-0.641197
1961:02:11;-0.631737
1961:02:12;-0.620338
1961:02:13;-0.606995
1961:02:14;-0.591702
1961:02:15;-0.574453
1961:02:16;-0.555242
1961:02:17;-0.534062
1961:02:18;-0.510904
1961:02:19;-0.485758
1961:02:20;-0.458616
1961:02:21;-0.429467
1961:02:22;-0.398299
1961:02:23;-0.3651
1961:02:24;-0.329857
1961:02:25;-0.292556
1961:02:26;-0.253183
1961:02:27;-0.211723
1961:02:28;-0.168159
1961:03:01;-0.122474
1961:03:02;-0.0778509
1961:03:03;-0.0342716
1961:03:04;0.00828082
1961:03:05;0.0498228
1961:03:06;0.0903707
1961:03:07;0.12994
1961:03:08;0.168547
1961:03:09;0.206206
1961:03:10;0.242931
1961:03:11;0.278738
