PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,2019-01-16,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,153.00000,155.88000,154.94000,31038506,0.012217,154.92000,154.92999,4729803,4,4,153.08000,195306,0.012217,0.003177,0.003157,0.004831,0.004808,0.002222
14593,2019-01-17,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,153.25999,157.66000,155.86000,29820196,0.005938,155.85001,155.86000,4729803,4,4,154.20000,196241,0.005938,0.007082,0.007014,0.005101,0.005049,0.007591
14593,2019-01-18,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,2019-04-21,,,,,1,6,62,1,155.98061,157.88000,156.82001,33747398,0.006159,156.81000,156.83000,4715280,4,4,157.50000,198265,0.006159,0.012032,0.012011,0.008534,0.008518,0.013183
14593,2019-01-22,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,152.62000,156.73000,153.30000,30390836,-0.022446,153.69000,153.70000,4715280,4,4,156.41000,205623,-0.022446,-0.014150,-0.014182,-0.013514,-0.013570,-0.014157
14593,2019-01-23,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,151.70000,155.14000,153.92000,23128770,0.004044,153.96001,153.97000,4715280,4,4,154.14999,155987,0.004044,0.001313,0.001270,-0.000571,-0.000626,0.002203
14593,2019-01-24,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,151.74001,154.48000,152.70000,25439969,-0.007926,152.69000,152.70000,4715280,4,4,154.11000,173271,-0.007926,0.002789,0.002762,0.005460,0.005439,0.001376
14593,2019-01-25,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,154.32001,158.13000,157.75999,33543693,0.033137,157.71001,157.73000,4715280,4,4,155.48000,219512,0.033137,0.009553,0.009520,0.010818,0.010780,0.008489
14593,2019-01-28,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,153.66000,156.33000,156.30000,26189758,-0.009255,156.30000,156.31000,4715280,4,4,155.78999,180749,-0.009255,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
14593,2019-01-29,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,154.11000,158.13000,154.67999,41582339,-0.010365,154.63000,154.67999,4715280,4,4,156.25000,285609,-0.010365,-0.000918,-0.000929,0.000164,0.000143,-0.001456
14593,2019-01-30,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,160.23000,166.14999,165.25000,61110767,0.068335,165.24001,165.27000,4715280,4,4,163.25000,389066,0.068335,0.014357,0.014215,0.009789,0.009713,0.015549
14593,2019-01-31,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,164.56000,169.00000,166.44000,40735850,0.007201,166.27000,166.30000,4715280,4,4,166.11000,241849,0.007201,0.008467,0.008278,0.007008,0.006938,0.008597
14593,2019-02-01,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,165.92999,168.98000,166.52000,32678838,0.000481,166.53000,166.58000,4715280,4,4,166.96001,193181,0.000481,0.001418,0.001277,0.002960,0.002824,0.000899
14593,2019-02-04,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,167.28000,171.65500,171.25000,31493982,0.028405,171.25999,171.27000,4715280,4,4,167.41000,206000,0.028405,0.006692,0.006647,0.007317,0.007261,0.006776
14593,2019-02-05,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.35010,175.08000,174.17999,36099339,0.017109,174.10001,174.12000,4715280,4,4,172.86000,229788,0.017109,0.004392,0.004375,0.002633,0.002602,0.004708
14593,2019-02-06,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.85310,175.57001,174.24001,28234691,0.000345,174.25999,174.28999,4715280,4,4,174.64999,170208,0.000345,-0.002529,-0.002605,-0.001374,-0.001427,-0.002224
14593,2019-02-07,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,170.34000,173.94000,170.94000,31758590,-0.018939,170.98000,171.00000,4715280,4,4,172.39999,212761,-0.018939,-0.008815,-0.008945,-0.009004,-0.009092,-0.009357
14593,2019-02-08,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,2019-01-29,,,,,2019-02-14,2019-02-11,0,,,1232,0.73000,0.00000,0.00000,,,,,,,,1,6,62,1,168.42000,170.66000,170.41000,23818606,0.001170,170.50999,170.53000,4715280,4,4,168.99001,159323,-0.003100,0.000651,0.000387,-0.001107,-0.001212,0.000676
14593,2019-02-11,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.25000,171.21001,169.42999,20992225,-0.005751,169.42999,169.46001,4715280,4,4,171.05000,147085,-0.005751,0.001262,0.001241,0.003731,0.003704,0.000709
14593,2019-02-12,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.70000,171.00000,170.89000,22289660,0.008617,170.88000,170.89000,4715280,4,4,170.10001,146276,0.008617,0.012367,0.012314,0.010086,0.010024,0.012890
14593,2019-02-13,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.92000,172.48000,170.17999,22492533,-0.004155,170.17000,170.20000,4715280,4,4,171.39000,151802,-0.004155,0.002782,0.002721,0.003827,0.003776,0.003024
14593,2019-02-14,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.38000,171.26151,170.80000,21833598,0.003643,170.78000,170.78999,4715280,4,4,169.71001,154275,0.003643,-0.001423,-0.001761,0.000674,0.000393,-0.002652
14593,2019-02-15,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.75000,171.70000,170.42000,24625614,-0.002225,170.37000,170.39000,4715280,4,4,171.25000,159181,-0.002225,0.010835,0.010763,0.009520,0.009451,0.010879
14593,2019-02-19,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.49001,171.44000,170.92999,19268826,0.002993,170.91000,170.94000,4715280,4,4,169.71001,135257,0.002993,0.002351,0.002292,0.005022,0.004951,0.001499
14593,2019-02-20,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,170.99001,173.32001,172.03000,26111462,0.006435,172.09000,172.10001,4715280,4,4,171.19000,164439,0.006435,0.002105,0.001968,0.001534,0.001444,0.001777
14593,2019-02-21,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,170.30000,172.37000,171.06000,17247080,-0.005639,171.14000,171.14999,4715280,4,4,171.80000,139610,-0.005639,-0.003534,-0.003604,-0.001722,-0.001781,-0.003526
14593,2019-02-22,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,171.38000,173.00000,172.97000,18907829,0.011166,172.96001,172.97000,4715280,4,4,171.58000,126146,0.011166,0.006367,0.006318,0.007815,0.007776,0.006411
14593,2019-02-25,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,173.95000,175.87000,174.23000,21870758,0.007284,174.20000,174.24001,4715280,4,4,174.16000,161783,0.007284,0.001355,0.001261,0.002548,0.002533,0.001232
14593,2019-02-26,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,63,1,173.17320,175.30000,174.33000,17068911,0.000574,174.33000,174.35001,4715280,4,4,173.71001,121493,0.000574,-0.001496,-0.001519,-0.002209,-0.002228,-0.000790
14593,2019-02-27,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.73000,175.00000,174.87000,27832500,0.003098,174.87000,174.88000,4715280,4,4,173.21001,127050,0.003098,0.000503,0.000365,0.000165,0.000076,-0.000544
14593,2019-02-28,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.92000,174.91000,173.14999,28214816,-0.009836,173.16000,173.21001,4715280,4,4,174.32001,127371,-0.009836,-0.002832,-0.003064,-0.003329,-0.003450,-0.002826
14593,2019-03-01,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.89000,175.14999,174.97000,25884817,0.010511,174.96001,174.98000,4715280,4,4,174.28000,148812,0.010511,0.006074,0.005965,0.005596,0.005466,0.006895
14593,2019-03-04,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,173.97000,177.75000,175.85001,27448424,0.005029,175.86000,175.87000,4715280,4,4,175.69000,192733,0.005029,-0.004235,-0.004264,-0.002059,-0.002097,-0.003881
14593,2019-03-05,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,174.53999,176.00000,175.53000,19735919,-0.001820,175.50000,175.50999,4715280,4,4,175.94000,128613,-0.001820,-0.001320,-0.001347,-0.001251,-0.001273,-0.001131
14593,2019-03-06,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,173.94000,175.49001,174.52000,20832292,-0.005754,174.50999,174.52000,4715280,4,4,174.67000,139010,-0.005754,-0.007768,-0.007803,-0.012423,-0.012443,-0.006524
14593,2019-03-07,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,172.02000,174.44000,172.50000,24795166,-0.011575,172.47000,172.48000,4715280,4,4,173.87000,181954,-0.011575,-0.007494,-0.007681,-0.005773,-0.005884,-0.008126
14593,2019-03-08,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,169.50000,173.07001,172.91000,23997584,0.002377,172.92000,172.92999,4715280,4,4,170.32001,168999,0.002377,-0.001900,-0.001999,-0.002342,-0.002463,-0.002132
14593,2019-03-11,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,175.35001,179.12000,178.89999,32008934,0.034642,178.97000,178.99001,4715280,4,4,175.49001,214343,0.034642,0.014348,0.014321,0.013281,0.013230,0.014666
14593,2019-03-12,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,179.37000,182.67000,180.91000,32466191,0.011235,180.92999,180.95000,4715280,4,4,180.00000,218418,0.011235,0.002743,0.002709,0.002639,0.002589,0.002953
14593,2019-03-13,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,180.92000,183.30000,181.71001,31032024,0.004422,181.70000,181.72000,4715280,4,4,182.25000,189680,0.004422,0.006419,0.006357,0.004495,0.004448,0.006950
14593,2019-03-14,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,182.56000,184.10001,183.73000,23579408,0.011117,183.73000,183.74001,4715280,4,4,183.89999,157537,0.011117,-0.000989,-0.001326,-0.001548,-0.001928,-0.000868
14593,2019-03-15,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,183.74001,187.33000,186.12000,39041265,0.013008,186.22000,186.23000,4715280,4,4,184.85001,204317,0.013008,0.004549,0.004452,0.003170,0.003049,0.004985
14593,2019-03-18,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,185.78999,188.39000,188.02000,26218632,0.010209,188.02000,188.03000,4715280,4,4,185.80000,166465,0.010209,0.004449,0.004420,0.006075,0.005930,0.003706
14593,2019-03-19,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,185.92000,188.99001,186.53000,31645700,-0.007925,186.53999,186.56000,4715280,4,4,188.35001,199008,-0.007925,-0.000676,-0.000723,-0.001410,-0.001522,-0.000131
14593,2019-03-20,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,184.73000,189.49001,188.16000,31034436,0.008739,188.16000,188.17000,4715280,4,4,186.23000,195229,0.008739,-0.003146,-0.003266,-0.002614,-0.002785,-0.002944
14593,2019-03-21,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,64,1,189.81000,196.33000,195.09000,51035993,0.036830,195.05000,195.06000,4715280,4,4,190.02000,312691,0.036830,0.010294,0.010214,0.005282,0.005128,0.010853
14593,2019-03-22,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,190.78000,197.69000,191.05000,42405890,-0.020708,191.03000,191.07001,4715280,4,4,195.34000,300876,-0.020708,-0.020352,-0.020404,-0.022043,-0.022070,-0.018975
14593,2019-03-25,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,186.60001,191.98000,188.74001,43844370,-0.012091,188.74001,188.77000,4715280,4,4,191.50999,311841,-0.012091,-0.000328,-0.000413,-0.000245,-0.000300,-0.000839
14593,2019-03-26,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,184.58000,192.88000,186.78999,49798847,-0.010332,186.78000,186.80000,4715280,4,4,191.66400,346233,-0.010332,0.007719,0.007711,0.006267,0.006223,0.007183
14593,2019-03-27,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,186.55000,189.75999,188.47000,29847108,0.008994,188.47000,188.50000,4715280,4,4,188.75000,197732,0.008994,-0.004686,-0.004709,-0.002540,-0.002566,-0.004644
14593,2019-03-28,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,187.53000,189.55901,188.72000,20779811,0.001326,188.67999,188.72000,4715280,4,4,188.95000,153768,0.001326,0.004111,0.003829,0.003870,0.003583,0.003590
14593,2019-03-29,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,188.53999,190.08000,189.95000,23561761,0.006518,189.94000,189.97000,4715280,4,4,189.83000,151705,0.006518,0.006019,0.005974,0.002876,0.002821,0.006734
14593,2019-04-01,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,15,1,188.38000,191.67999,191.24001,27858987,0.006791,191.23000,191.24001,4715280,4,4,191.64000,183862,0.006791,0.011239,0.011166,0.009780,0.009658,0.011569
14593,2019-04-02,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,64,1,191.05000,194.46001,194.02000,22791540,0.014537,194.03999,194.05000,4715280,4,4,191.09000,171587,0.014537,-0.000146,-0.000181,-0.000222,-0.000269,0.000017
14593,2019-04-03,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,193.14999,196.50000,195.35001,23271030,0.006855,195.34000,195.35001,4715280,4,4,193.25000,166310,0.006855,0.002548,0.002540,0.002333,0.002309,0.002148
14593,2019-04-04,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,193.14000,196.37000,195.69000,19303875,0.001740,195.71001,195.73000,4715280,4,4,194.78999,136294,0.001740,0.001939,0.001779,0.002985,0.002939,0.002085
14593,2019-04-05,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,195.92999,197.10001,197.00000,18524554,0.006694,196.96001,196.99001,4715280,4,4,196.45000,125990,0.006694,0.005114,0.005107,0.007044,0.007031,0.004636
14593,2019-04-08,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,196.34000,200.23000,200.10001,25890849,0.015736,200.07001,200.11000,4715280,4,4,196.42000,183787,0.015736,0.001042,0.001026,0.001010,0.000995,0.001047
14593,2019-04-09,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,199.23000,202.85001,199.50000,35767039,-0.002999,199.48000,199.50999,4715280,4,4,200.32001,234710,-0.002999,-0.006282,-0.006510,-0.006985,-0.007011,-0.006067
14593,2019-04-10,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,198.17999,200.74001,200.62000,21694194,0.005614,200.66000,200.67999,4715280,4,4,198.67999,162786,0.005614,0.004781,0.004715,0.006191,0.006139,0.003478
14593,2019-04-11,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,198.44310,201.00000,198.95000,20901963,-0.008324,198.94000,198.96001,4715280,4,4,200.85001,144673,-0.008324,-0.000123,-0.000139,-0.001768,-0.001817,0.000038
14593,2019-04-12,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,196.21001,200.14000,198.87000,27762780,-0.000402,198.88000,198.89000,4715280,4,4,199.20000,197121,-0.000402,0.006427,0.006341,0.002535,0.002389,0.006609
14593,2019-04-15,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,198.00999,199.85001,199.23000,17542846,0.001810,199.22000,199.23000,4715280,4,4,198.58000,143097,0.001810,-0.001019,-0.001050,-0.003526,-0.003550,-0.000629
14593,2019-04-16,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,198.56000,201.37000,199.25000,25692516,0.000100,199.24001,199.25000,4715280,4,4,199.46001,210409,0.000100,0.000713,0.000698,0.000853,0.000809,0.000509
14593,2019-04-17,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,198.61000,203.38000,203.13000,29483980,0.019473,203.11000,203.12000,4715280,4,4,199.53999,211735,0.019473,-0.003057,-0.003127,-0.005654,-0.005707,-0.002274
14593,2019-04-18,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,,,,,,1,6,65,1,202.52000,204.14999,203.86000,24195522,0.003594,203.86000,203.87000,4715280,4,4,203.12000,149849,0.003594,0.001078,0.001059,-0.000348,-0.000390,0.001579
14593,2019-04-22,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,2019-06-27,,,,,1,6,65,1,202.34000,204.94000,204.53000,19437945,0.003287,204.63000,204.64999,4601075,4,4,202.83000,120738,0.003287,0.000550,0.000523,-0.001071,-0.001154,0.001012
14593,2019-04-23,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,203.89999,207.75000,207.48000,23320966,0.014423,207.50000,207.50999,4601075,4,4,204.42999,168417,0.014423,0.008919,0.008838,0.008481,0.008338,0.008841
