,Date,Realized Volatility,Predicted Volatility
0,2023-04-03,0.0047701813221251,0.011539555827434083
1,2023-04-04,0.0061906454463872,0.009518299611756893
2,2023-04-05,0.0057898386938384,0.009603589825990693
3,2023-04-06,0.0054955567200239,0.008739352671588926
4,2023-04-10,0.0085634806194749,0.008110186287030302
5,2023-04-11,0.0038624291759898,0.007816513934900661
6,2023-04-12,0.0090135300370304,0.006764327257099344
7,2023-04-13,0.0053144707672928,0.007188912572493767
8,2023-04-14,0.0072586361692688,0.008858172801847055
9,2023-04-17,0.004169948063025,0.007390132256999762
10,2023-04-18,0.0061186508927239,0.007561595811652668
11,2023-04-19,0.0054252579396249,0.006838293981608462
12,2023-04-20,0.0080587375850099,0.006160927261126529
13,2023-04-21,0.0057103490595324,0.006469550178979672
14,2023-04-24,0.0039337845538581,0.0061474016412324415
15,2023-04-25,0.0065833381897638,0.005683710530694959
16,2023-04-26,0.0055484794447217,0.009072251594376031
17,2023-04-27,0.0079760836667907,0.007210175100599773
18,2023-04-28,0.0070792230434708,0.011351126804532543
19,2023-05-01,0.0045071005046427,0.009368928570636488
20,2023-05-02,0.0071068252074632,0.009606310963490504
21,2023-05-03,0.0070267697087788,0.009927912080734876
22,2023-05-04,0.0086304034503348,0.009208449494883203
23,2023-05-05,0.0118924652155763,0.00925878068492785
24,2023-05-08,0.0042208895194229,0.011684798075596034
25,2023-05-09,0.0060317980719206,0.009473727281229501
26,2023-05-10,0.0113773871301693,0.00976501482901928
27,2023-05-11,0.0076147663148083,0.008885866134919564
28,2023-05-12,0.0066109976654099,0.00846105355992968
29,2023-05-15,0.0042333867964927,0.007884195693959671
30,2023-05-16,0.0059028406518993,0.007552485508914012
31,2023-05-17,0.0067887370530112,0.007604196468826156
32,2023-05-18,0.0066581862522701,0.008703275501867233
33,2023-05-19,0.00652425461996,0.008476122883221887
34,2023-05-22,0.0058858146620133,0.007827048521476568
35,2023-05-23,0.0074365185362057,0.007431182670611941
36,2023-05-24,0.0074413905601216,0.008577225011640327
37,2023-05-25,0.0086756003275739,0.00802434912069386
38,2023-05-26,0.0059270139876367,0.008877532475071576
39,2023-05-30,0.0084185620213689,0.009452171966301938
40,2023-05-31,0.006689899053357,0.008170482764120222
41,2023-06-01,0.0053807876294168,0.008364088599347428
42,2023-06-02,0.0107641967119137,0.008559899172897765
43,2023-06-05,0.0065640304311517,0.010636726364960698
44,2023-06-06,0.0048859755179119,0.008324962673011993
45,2023-06-07,0.0055097123444245,0.008410287314803847
46,2023-06-08,0.0036831386818406,0.007801671107702473
47,2023-06-09,0.0055698651549678,0.007867898619323558
48,2023-06-12,0.0039582237161233,0.007166668468324882
49,2023-06-13,0.0066093654326361,0.008081041024984572
50,2023-06-14,0.0086331509099914,0.007582094844435593
51,2023-06-15,0.006047054659061,0.007116278575269725
52,2023-06-16,0.0068731197156476,0.008667577058517483
53,2023-06-20,0.0054071984039473,0.0071252680663934686
54,2023-06-21,0.0062414731392971,0.0076260190616787675
55,2023-06-22,0.0059824726758008,0.0072675715086008485
56,2023-06-23,0.0084388773012128,0.006574660894474946
57,2023-06-26,0.0048166089401087,0.007371686113126246
58,2023-06-27,0.0050037951691703,0.00685417713431803
59,2023-06-28,0.0063467654384037,0.008209112315845228
60,2023-06-29,0.0044219711429785,0.0069010877290512545
61,2023-06-30,0.0091621469365063,0.00720095798614
62,2023-07-03,0.0017428391968392,0.008394624096518854
63,2023-07-05,0.0047481843406192,0.007144924558375378
64,2023-07-06,0.0108612005045433,0.007155422571077758
65,2023-07-07,0.0046297119875068,0.007296741260145236
66,2023-07-10,0.0043787833322243,0.006803464809366141
67,2023-07-11,0.0057128551646038,0.006633353860639566
68,2023-07-12,0.0096267375665493,0.0068575902790988606
69,2023-07-13,0.0060827734223448,0.0070523892255996415
70,2023-07-14,0.0046886747630703,0.007381956254146486
71,2023-07-17,0.0030976851707814,0.006618595784096511
72,2023-07-18,0.0037850676203347,0.006800704773300496
73,2023-07-19,0.0051515142682314,0.006930262205764758
74,2023-07-20,0.0045186156608063,0.0063119577517337065
75,2023-07-21,0.0059553053963746,0.006796297656133996
76,2023-07-24,0.0060537445103625,0.0060479230039471145
77,2023-07-25,0.0029840240372187,0.006209304297434336
78,2023-07-26,0.0072603151493528,0.0058306845395353565
79,2023-07-27,0.0102693277482008,0.005351692496297028
80,2023-07-28,0.0089506637896952,0.006083279702834322
81,2023-07-31,0.0044984282466561,0.0069428165553962265
82,2023-08-01,0.0044462012065194,0.006066779097526966
83,2023-08-02,0.0098719178148208,0.005844184080565656
84,2023-08-03,0.0071926324254093,0.008386137458712067
85,2023-08-04,0.0089368825659004,0.006756231272784346
86,2023-08-07,0.0076456790742925,0.0073301976142664035
87,2023-08-08,0.0083413094328805,0.007920998513002158
88,2023-08-09,0.0055592301573657,0.007073023617153386
89,2023-08-10,0.0112115159252921,0.007411433833519657
90,2023-08-11,0.0071736381085083,0.006931641036121811
91,2023-08-14,0.0045995946442805,0.006464241064683498
92,2023-08-15,0.0069078020592565,0.006559108254194829
93,2023-08-16,0.0064665053492335,0.007943020041409732
94,2023-08-17,0.0066709262158877,0.0074927967983433675
95,2023-08-18,0.0079471257950126,0.007866545513599128
96,2023-08-21,0.0065886794998806,0.007003347139125642
97,2023-08-22,0.0067706052230866,0.007309997143563028
98,2023-08-23,0.0051333671194706,0.00672894043403506
99,2023-08-24,0.006712223447997,0.008160488669862286
100,2023-08-25,0.0112729786605388,0.009187884939764735
101,2023-08-28,0.0082802002172657,0.008416354975952245
