,Realized Volatility,Predicted Volatility
2023-04-05,0.0057898386938384,0.008001788
2023-04-06,0.0054955567200239,0.0082965335
2023-04-10,0.0085634806194749,0.0077223424
2023-04-11,0.0038624291759898,0.008540572
2023-04-12,0.0090135300370304,0.007560312
2023-04-13,0.0053144707672928,0.008489434
2023-04-14,0.0072586361692688,0.0075298697
2023-04-17,0.004169948063025,0.007600751
2023-04-18,0.0061186508927239,0.0074660527
2023-04-19,0.0054252579396249,0.00699888
2023-04-20,0.0080587375850099,0.0070158616
2023-04-21,0.0057103490595324,0.00785876
2023-04-24,0.0039337845538581,0.0070772837
2023-04-25,0.0065833381897638,0.0067173843
2023-04-26,0.0055484794447217,0.008444497
2023-04-27,0.0079760836667907,0.0077556632
2023-04-28,0.0070792230434708,0.0077353544
2023-05-01,0.0045071005046427,0.007587819
2023-05-02,0.0071068252074632,0.006532769
2023-05-03,0.0070267697087788,0.0074996366
2023-05-04,0.0086304034503348,0.008539889
2023-05-05,0.0118924652155763,0.009121204
2023-05-08,0.0042208895194229,0.009361275
2023-05-09,0.0060317980719206,0.007071111
2023-05-10,0.0113773871301693,0.007231232
2023-05-11,0.0076147663148083,0.008940096
2023-05-12,0.0066109976654099,0.007863781
2023-05-15,0.0042333867964927,0.007221446
2023-05-16,0.0059028406518993,0.007207685
2023-05-17,0.0067887370530112,0.0078000873
2023-05-18,0.0066581862522701,0.007236107
2023-05-19,0.00652425461996,0.0071495855
2023-05-22,0.0058858146620133,0.0070645926
2023-05-23,0.0074365185362057,0.0071984134
2023-05-24,0.0074413905601216,0.007830793
2023-05-25,0.0086756003275739,0.00830444
2023-05-26,0.0059270139876367,0.00835339
2023-05-30,0.0084185620213689,0.007836749
2023-05-31,0.006689899053357,0.0077526346
2023-06-01,0.0053807876294168,0.0077288076
2023-06-02,0.0107641967119137,0.006820473
2023-06-05,0.0065640304311517,0.007121795
2023-06-06,0.0048859755179119,0.0069604814
2023-06-07,0.0055097123444245,0.006673587
2023-06-08,0.0036831386818406,0.006515667
2023-06-09,0.0055698651549678,0.0055354894
2023-06-12,0.0039582237161233,0.005844145
2023-06-13,0.0066093654326361,0.0061713443
2023-06-14,0.0086331509099914,0.006502051
2023-06-15,0.006047054659061,0.006929752
2023-06-16,0.0068731197156476,0.006357814
2023-06-20,0.0054071984039473,0.005675822
2023-06-21,0.0062414731392971,0.006048469
2023-06-22,0.0059824726758008,0.006430915
2023-06-23,0.0084388773012128,0.005945766
2023-06-26,0.0048166089401087,0.0062210164
2023-06-27,0.0050037951691703,0.0055827936
2023-06-28,0.0063467654384037,0.005629093
2023-06-29,0.0044219711429785,0.006065755
2023-06-30,0.0091621469365063,0.0063145515
2023-07-03,0.0017428391968392,0.0065830196
