,Realized Volatility,Predicted Volatility
2023-04-05,0.0057898386938384,0.007204113802982588
2023-04-06,0.0054955567200239,0.007642607001724244
2023-04-10,0.0085634806194749,0.0061785637165474
2023-04-11,0.0038624291759898,0.007784094910870676
2023-04-12,0.0090135300370304,0.006617370001145956
2023-04-13,0.0053144707672928,0.0071956467293913026
2023-04-14,0.0072586361692688,0.0067655162408949525
2023-04-17,0.004169948063025,0.006838356173655373
2023-04-18,0.0061186508927239,0.005951246005145967
2023-04-19,0.0054252579396249,0.005972138487303504
2023-04-20,0.0080587375850099,0.005629888050292499
2023-04-21,0.0057103490595324,0.006606109301116318
2023-04-24,0.0039337845538581,0.006111002451442464
2023-04-25,0.0065833381897638,0.00480842734977223
2023-04-26,0.0055484794447217,0.007871780394020002
2023-04-27,0.0079760836667907,0.006723585467484644
2023-04-28,0.0070792230434708,0.007806540539309981
2023-05-01,0.0045071005046427,0.006850876052058229
2023-05-02,0.0071068252074632,0.006048676061993693
2023-05-03,0.0070267697087788,0.0077008390959476605
2023-05-04,0.0086304034503348,0.008142847604651147
2023-05-05,0.0118924652155763,0.008571957118640157
2023-05-08,0.0042208895194229,0.01046244931778758
2023-05-09,0.0060317980719206,0.006273724917421252
2023-05-10,0.0113773871301693,0.006302110046192001
2023-05-11,0.0076147663148083,0.008515010994143549
2023-05-12,0.0066109976654099,0.008319163672955225
2023-05-15,0.0042333867964927,0.006500383134673924
2023-05-16,0.0059028406518993,0.005570104762334635
2023-05-17,0.0067887370530112,0.006216464711448202
2023-05-18,0.0066581862522701,0.007171886106661273
2023-05-19,0.00652425461996,0.00677119359147368
2023-05-22,0.0058858146620133,0.0058987908957332975
2023-05-23,0.0074365185362057,0.0067357929273916956
2023-05-24,0.0074413905601216,0.007915085982633342
2023-05-25,0.0086756003275739,0.008108154890965388
2023-05-26,0.0059270139876367,0.007725911297975288
2023-05-30,0.0084185620213689,0.007273902208972351
2023-05-31,0.006689899053357,0.007620183230487957
2023-06-01,0.0053807876294168,0.00797641780905215
2023-06-02,0.0107641967119137,0.005549672972128251
2023-06-05,0.0065640304311517,0.00810096836667516
2023-06-06,0.0048859755179119,0.006459438405052953
