,Realized Volatility,Realized Volatility_lag_1,Realized Volatility_lag_2,ADS_lag_1,ADS_lag_2,US Policy Index_lag_1,US Policy Index_lag_2,VIX_lag_1,VIX_lag_2,Volume_lag_1,Volume_lag_2,Sentiment Score_lag_1,Sentiment Score_lag_2,Dollar_index_ret_lag_1,Dollar_index_ret_lag_2,term_spread_ret_lag_1,term_spread_ret_lag_2,13w TB_ret_lag_1,13w TB_ret_lag_2,Abs Return_lag_1,Abs Return_lag_2
2022-09-21,0.0252215412539683,0.0122492831720481,0.0104791710597399,0.0692794,0.0788741,78.61,65.09,27.15999984741211,25.76000022888184,4058050000.0,3766850000.0,0.0485985513468459,0.1435341094162775,0.004364467365699,-0.0001822712757751,-0.2606939763317731,0.1684366357713597,0.0662873839437193,-0.0114660870623346,0.0112106317837008,0.0071222845902852
2022-09-22,0.012869398859123,0.0252215412539683,0.0122492831720481,0.0588649,0.0692794,70.88,78.61,27.989999771118164,27.15999984741211,4078330000.0,4058050000.0,0.1243673809862744,0.0485985513468459,0.0038033023097084,0.004364467365699,0.0310705243131414,-0.2606939763317731,-0.0164779020012722,0.0662873839437193,0.0175062710398958,0.0112106317837008
2022-09-23,0.016185891222274,0.012869398859123,0.0252215412539683,0.0476266,0.0588649,139.2,70.88,27.350000381469727,27.989999771118164,4284600000.0,4078330000.0,0.0141384987421975,0.1243673809862744,0.0063966981599803,0.0038033023097084,0.4237792106913656,0.0310705243131414,-0.0189878936195462,-0.0164779020012722,0.0087243972506133,0.0175062710398958
2022-09-26,0.0138119297066885,0.016185891222274,0.012869398859123,0.0355599,0.0476266,133.87,139.2,29.920000076293945,27.350000381469727,5144270000.0,4284600000.0,0.0364137569995565,0.0141384987421975,0.0163894642134981,0.0063966981599803,0.0920053297942938,0.4237792106913656,-0.007053595721763,-0.0189878936195462,0.016553993736253,0.0087243972506133
2022-09-27,0.0195215654432018,0.0138119297066885,0.016185891222274,-0.00424164,0.0355599,85.96,133.87,32.2599983215332,29.920000076293945,4886140000.0,5144270000.0,0.0284458719804878,0.0364137569995565,0.0080073992814311,0.0163894642134981,0.1263711562440931,0.0920053297942938,0.0181735981504916,-0.007053595721763,0.0106376152043042,0.016553993736253
2022-09-28,0.0112469498676869,0.0195215654432018,0.0138119297066885,-0.0168374,-0.00424164,194.98,85.96,32.599998474121094,32.2599983215332,4577740000.0,4886140000.0,0.0782797639840243,0.0284458719804878,8.765730053012171e-05,0.0080073992814311,-0.0348038402433024,0.1263711562440931,0.0265019527982627,0.0181735981504916,0.002091797498497,0.0106376152043042
2022-09-29,0.0172823261434157,0.0112469498676869,0.0195215654432018,-0.0288697,-0.0168374,155.79,194.98,30.18000030517578,32.599998474121094,4684850000.0,4577740000.0,0.0224170771611305,0.0782797639840243,-0.0133211986411207,8.765730053012171e-05,-0.3273474953697203,-0.0348038402433024,-0.0061728532019768,0.0265019527982627,0.0187891108972282,0.002091797498497
2022-09-30,0.0122800746492934,0.0172823261434157,0.0112469498676869,-0.0403431,-0.0288697,93.12,155.79,31.84000015258789,30.18000030517578,4681810000.0,4684850000.0,0.1533712683987013,0.0224170771611305,-0.0031131755319038,-0.0133211986411207,0.0950477345555287,-0.3273474953697203,-0.0037221147217009,-0.0061728532019768,0.0206491509513468,0.0187891108972282
2022-10-03,0.0132264927965778,0.0122800746492934,0.0172823261434157,-0.0512622,-0.0403431,192.84,93.12,31.6200008392334,31.84000015258789,5645360000.0,4681810000.0,0.04966480126209,0.1533712683987013,-0.0011587758289691,-0.0031131755319038,0.1234607350233547,0.0950477345555287,-0.0118788106330521,-0.0037221147217009,0.0143847209523487,0.0206491509513468
2022-10-04,0.0212063096112002,0.0132264927965778,0.0122800746492934,-0.0812357,-0.0512622,146.03,192.84,30.100000381469727,31.6200008392334,4806680000.0,5645360000.0,0.1298781801225509,0.04966480126209,-0.0033055172997162,-0.0011587758289691,-0.1609488671405832,0.1234607350233547,-0.0094787346719997,-0.0118788106330521,0.0242515847564014,0.0143847209523487
2022-10-05,0.014268822105337,0.0212063096112002,0.0132264927965778,-0.0910992,-0.0812357,148.79,146.03,29.06999969482422,30.100000381469727,5146580000.0,4806680000.0,0.1052323439204976,0.1298781801225509,-0.0151477092309387,-0.0033055172997162,-0.3337474411536802,-0.1609488671405832,0.051055157785983,-0.0094787346719997,0.0301777321377707,0.0242515847564014
2022-10-06,0.0120350291261742,0.014268822105337,0.0212063096112002,-0.101009,-0.0910992,153.24,148.79,28.549999237060547,29.06999969482422,4293180000.0,5146580000.0,0.1670690928645314,0.1052323439204976,0.0090441061686905,-0.0151477092309387,0.2378918723075782,-0.3337474411536802,-0.0066586427175896,0.051055157785983,0.0018775324679748,0.0301777321377707
2022-10-07,0.0160989517535724,0.0120350291261742,0.014268822105337,-0.110968,-0.101009,168.97,153.24,30.520000457763672,28.549999237060547,4252100000.0,4293180000.0,0.1442913660432174,0.1670690928645314,0.0106569981119341,0.0090441061686905,0.1476944751273037,0.2378918723075782,-0.0015194885021201,-0.0066586427175896,0.0103055751552097,0.0018775324679748
2022-10-10,0.0128559119445616,0.0160989517535724,0.0120350291261742,-0.120981,-0.110968,139.82,168.97,31.36000061035156,30.520000457763672,4449660000.0,4252100000.0,0.004881130466264,0.1442913660432174,0.0047987375751845,0.0106569981119341,0.0867959689126875,0.1476944751273037,0.0015194885021201,-0.0015194885021201,0.0282267900504262,0.0103055751552097
2022-10-11,0.0141279259989353,0.0128559119445616,0.0160989517535724,-0.15184,-0.120981,181.4,139.82,32.45000076293945,31.36000061035156,3834320000.0,4449660000.0,0.0816620747253614,0.004881130466264,0.0030096184018033,0.0047987375751845,0.0257925572691868,0.0867959689126875,-0.0024323201166726,0.0015194885021201,0.0078125467927261,0.0282267900504262
2022-10-12,0.0107996329733686,0.0141279259989353,0.0128559119445616,-0.163021,-0.15184,155.85,181.4,33.630001068115234,32.45000076293945,4759030000.0,3834320000.0,0.0835083204208123,0.0816620747253614,0.0007068548698534,0.0030096184018033,-0.0413524255984732,0.0257925572691868,0.0166041032261607,-0.0024323201166726,0.0068979627885974,0.0078125467927261
2022-10-13,0.0274548535251276,0.0107996329733686,0.0141279259989353,-0.174732,-0.163021,186.85,155.85,33.56999969482422,33.630001068115234,4006830000.0,4759030000.0,0.0703611026942566,0.0835083204208123,0.0008828328790661,0.0007068548698534,-0.358917967146922,-0.0413524255984732,0.0561765849267441,0.0166041032261607,0.0028810537183981,0.0068979627885974
2022-10-14,0.0192117318955967,0.0274548535251276,0.0107996329733686,-0.186979,-0.174732,169.02,186.85,31.940000534057617,33.56999969482422,5021680000.0,4006830000.0,0.0515533109721426,0.0703611026942566,-0.0085076646011213,0.0008828328790661,0.0748476314564055,-0.358917967146922,0.0140530566676218,0.0561765849267441,0.025553481663042,0.0028810537183981
2022-10-17,0.0236591619431305,0.0192117318955967,0.0274548535251276,-0.199766,-0.186979,180.93,169.02,32.02000045776367,31.940000534057617,4243030000.0,5021680000.0,0.0979680292780513,0.0515533109721426,0.0084193961780689,-0.0085076646011213,0.0268794050646007,0.0748476314564055,0.012481115150757,0.0140530566676218,0.0230878832386541,0.025553481663042
2022-10-18,0.0243113039088245,0.0236591619431305,0.0192117318955967,-0.241077,-0.199766,129.16,180.93,31.3700008392334,32.02000045776367,4352780000.0,4243030000.0,0.0367686713449575,0.0979680292780513,-0.0112714452828784,0.0084193961780689,-0.1512949164342912,0.0268794050646007,0.0164027578320643,0.012481115150757,0.0255157738757701,0.0230878832386541
2022-10-19,0.0108528255024073,0.0243113039088245,0.0236591619431305,-0.255393,-0.241077,73.35,129.16,30.5,31.3700008392334,4483740000.0,4352780000.0,0.1212959777485887,0.0367686713449575,0.0008029294148257,-0.0112714452828784,-0.3663134382214015,-0.1512949164342912,0.038563476099671,0.0164027578320643,0.0117295878183025,0.0255157738757701
2022-10-20,0.0123386127388265,0.0108528255024073,0.0243113039088245,-0.269933,-0.255393,70.66,73.35,30.76000022888184,30.5,4223800000.0,4483740000.0,0.1035494507306683,0.1212959777485887,0.007551953631585,0.0008029294148257,0.1792622756069833,-0.3663134382214015,0.0155322677540171,0.038563476099671,0.0069671152719258,0.0117295878183025
2022-10-21,0.0138499581387307,0.0123386127388265,0.0108528255024073,-0.284704,-0.269933,78.35,70.66,29.979999542236328,30.76000022888184,4496620000.0,4223800000.0,0.0886942836468434,0.1035494507306683,-0.000885558397068,0.007551953631585,0.1996752638875924,0.1792622756069833,-0.0007708551236643,0.0155322677540171,0.0083492366764647,0.0069671152719258
2022-10-24,0.0145110610823824,0.0138499581387307,0.0123386127388265,-0.299711,-0.284704,107.34,78.35,29.690000534057617,29.979999542236328,5078020000.0,4496620000.0,0.0956975268444627,0.0886942836468434,-0.0077371111172519,-0.000885558397068,-0.1737557083556087,0.1996752638875924,-0.001286203233158,-0.0007708551236643,0.0235978208471897,0.0083492366764647
2022-10-25,0.0087257926989094,0.0145110610823824,0.0138499581387307,-0.346222,-0.299711,168.29,107.34,29.850000381469727,29.690000534057617,4747930000.0,5078020000.0,0.0281763310035379,0.0956975268444627,-0.0001786095760188,-0.0077371111172519,-0.0502838095873578,-0.1737557083556087,0.0071813891600059,-0.001286203233158,0.0119304245766298,0.0235978208471897
2022-10-26,0.0122604422832615,0.0087257926989094,0.0145110610823824,-0.362257,-0.346222,104.95,168.29,28.459999084472656,29.850000381469727,4843120000.0,4747930000.0,0.11728973992359,0.0281763310035379,-0.0093299406465135,-0.0001786095760188,-0.4235651827047703,-0.0502838095873578,0.0132014629148705,0.0071813891600059,0.0162996535184955,0.0119304245766298
2022-10-27,0.0126273340479432,0.0122604422832615,0.0087257926989094,-0.37857,-0.362257,84.81,104.95,27.280000686645508,28.459999084472656,4817310000.0,4843120000.0,0.0586447651185793,0.11728973992359,-0.0113302824108379,-0.0093299406465135,-0.1008060228455031,-0.4235651827047703,-0.0088663905719918,0.0132014629148705,0.0076922813397731,0.0162996535184955
2022-10-28,0.0081970706056482,0.0126273340479432,0.0122604422832615,-0.395168,-0.37857,150.79,84.81,27.38999938964844,27.280000686645508,4687320000.0,4817310000.0,0.0369689677759173,0.0586447651185793,0.0080802965109167,-0.0113302824108379,-0.5133544930911225,-0.1008060228455031,0.0,-0.0088663905719918,0.0056941125868909,0.0076922813397731
2022-10-31,0.0106554370510398,0.0081970706056482,0.0126273340479432,-0.412057,-0.395168,204.29,150.79,25.75,27.38999938964844,4459410000.0,4687320000.0,0.1099694470931075,0.0369689677759173,0.0007231477585397,0.0080802965109167,0.3310342006387525,-0.5133544930911225,0.0101266590379708,0.0,0.0237849929255407,0.0056941125868909
2022-11-01,0.0135334773250376,0.0106554370510398,0.0081970706056482,-0.464504,-0.412057,161.13,204.29,25.8799991607666,25.75,4820620000.0,4459410000.0,0.0792888139669843,0.1099694470931075,0.0077408183298629,0.0007231477585397,0.2158449991004751,0.3310342006387525,0.0012586222087823,0.0101266590379708,0.007258582933769,0.0237849929255407
2022-11-02,0.020337735036551,0.0135334773250376,0.0106554370510398,-0.48256,-0.464504,127.48,161.13,25.809999465942383,25.8799991607666,4481210000.0,4820620000.0,0.0537722101895185,0.0792888139669843,-0.0004483693352041,0.0077408183298629,-0.2719360079705889,0.2158449991004751,0.0186922040989864,0.0012586222087823,0.0043220158539768,0.007258582933769
2022-11-03,0.0150677451790498,0.020337735036551,0.0135334773250376,-0.500217,-0.48256,98.2,127.48,25.86000061035156,25.809999465942383,4899000000.0,4481210000.0,0.0319787361534792,0.0537722101895185,-0.0011668527262472,-0.0004483693352041,0.0741092821469067,-0.2719360079705889,-0.0061919936491763,0.0186922040989864,0.0253547263463858,0.0043220158539768
2022-11-04,0.0207226055892669,0.0150677451790498,0.020337735036551,-0.517484,-0.500217,140.73,98.2,25.299999237060547,25.86000061035156,4625290000.0,4899000000.0,0.0800545328587427,0.0319787361534792,0.0140897804379946,-0.0011668527262472,0.3721786457774192,0.0741092821469067,0.0,-0.0061919936491763,0.0105123396775465,0.0253547263463858
2022-11-07,0.0090983330350618,0.0207226055892669,0.0150677451790498,-0.534366,-0.517484,122.07,140.73,24.549999237060547,25.299999237060547,5400180000.0,4625290000.0,0.0276633843941059,0.0800545328587427,-0.0183196497670922,0.0140897804379946,-0.0376207589739647,0.3721786457774192,-0.0029858404277638,0.0,0.0131716356216871,0.0105123396775465
2022-11-08,0.0110329902787155,0.0090983330350618,0.0207226055892669,-0.582692,-0.534366,245.52,122.07,24.350000381469727,24.549999237060547,4341620000.0,5400180000.0,0.0159116257502396,0.0276633843941059,-0.0068778054547066,-0.0183196497670922,0.2699535325623759,-0.0376207589739647,-0.0075037798807075,-0.0029858404277638,0.0100971411214068,0.0131716356216871
2022-11-09,0.013191483074457,0.0110329902787155,0.0090983330350618,-0.597942,-0.582692,123.6,245.52,25.540000915527344,24.350000381469727,4607640000.0,4341620000.0,0.1759454520001685,0.0159116257502396,-0.0045508405426717,-0.0068778054547066,-0.6408785904840326,0.2699535325623759,0.0265096931064356,-0.0075037798807075,0.0054926187985813,0.0100971411214068
2022-11-11,0.0093264304151104,0.013191483074457,0.0110329902787155,-0.61276,-0.597942,146.6,123.6,26.09000015258789,25.540000915527344,4645010000.0,4607640000.0,0.0358500884570913,0.1759454520001685,0.0084480702352286,-0.0045508405426717,-0.1177838634987076,-0.6408785904840326,0.0007331743039151,0.0265096931064356,0.0208995214969527,0.0054926187985813
2022-11-14,0.0096799167214023,0.0093264304151104,0.013191483074457,-0.641122,-0.61276,183.98,146.6,22.520000457763672,26.09000015258789,5593310000.0,4645010000.0,0.0417158038984636,0.0358500884570913,-0.0179025589639279,0.0084480702352286,0.1098190042732133,-0.1177838634987076,-0.007356514899586,0.0007331743039151,0.0095312195730944,0.0208995214969527
2022-11-15,0.0209969996689295,0.0096799167214023,0.0093264304151104,-0.68025,-0.641122,215.52,183.98,23.729999542236328,22.520000457763672,4561930000.0,5593310000.0,0.0485387557984392,0.0417158038984636,0.0034750233479013,-0.0179025589639279,-0.5656377286864858,0.1098190042732133,0.0012297720349413,-0.007356514899586,0.008770317648742,0.0095312195730944
2022-11-16,0.0077571675399053,0.0209969996689295,0.0096799167214023,-0.691969,-0.68025,95.09,215.52,24.540000915527344,23.729999542236328,5015310000.0,4561930000.0,0.1023747309225008,0.0485387557984392,-0.0024406482583657,0.0034750233479013,1.0748610440530548,-0.5656377286864858,0.0151259958810736,0.0012297720349413,0.0086751578052583,0.008770317648742
2022-11-17,0.0141144573222794,0.0077571675399053,0.0209969996689295,-0.702982,-0.691969,107.83,95.09,24.11000061035156,24.540000915527344,4165320000.0,5015310000.0,0.0390515948042373,0.1023747309225008,-0.0011284818426259,-0.0024406482583657,0.2792324844414875,1.0748610440530548,-0.001211414895962,0.0151259958810736,0.0081345633193059,0.0086751578052583
2022-11-18,0.010688022056247,0.0141144573222794,0.0077571675399053,-0.713293,-0.702982,91.22,107.83,23.93000030517578,24.11000061035156,4051780000.0,4165320000.0,0.0049203594508939,0.0390515948042373,0.0038503466806623,-0.0011284818426259,-0.4462881321633659,0.2792324844414875,-0.0029133509427678,-0.001211414895962,0.0030023330233473,0.0081345633193059
2022-11-21,0.0073778023470382,0.010688022056247,0.0141144573222794,-0.722906,-0.713293,133.39,91.22,23.1200008392334,23.93000030517578,4037360000.0,4051780000.0,0.0144432442651002,0.0049203594508939,0.0022469615359948,0.0038503466806623,-0.2652068384358067,-0.4462881321633659,0.0053347149840948,-0.0029133509427678,0.0049275248118055,0.0030023330233473
2022-11-22,0.0061970474980029,0.0073778023470382,0.010688022056247,-0.74854,-0.722906,122.23,133.39,22.36000061035156,23.1200008392334,3850690000.0,4037360000.0,0.0883783193266727,0.0144432442651002,0.0084741955827245,0.0022469615359948,-0.4054651081081644,-0.2652068384358067,-0.0089883219099787,0.0053347149840948,0.004261552832717,0.0049275248118055
2022-11-23,0.007649835037302,0.0061970474980029,0.0073778023470382,-0.757284,-0.74854,125.51,122.23,21.290000915527344,22.36000061035156,3887990000.0,3850690000.0,0.1018205135866952,0.0883783193266727,-0.0057658034208434,0.0084741955827245,1.0608702285859108,-0.4054651081081644,0.0241091485761211,-0.0089883219099787,0.0134275520181786,0.004261552832717
2022-11-25,0.0029863430239651,0.007649835037302,0.0061970474980029,-0.76629,-0.757284,183.38,125.51,20.350000381469727,21.290000915527344,3279720000.0,3887990000.0,0.0699317378801226,0.1018205135866952,-0.0106892660857977,-0.0057658034208434,0.1694176994151702,1.0608702285859108,0.0004762693821452,0.0241091485761211,0.0060288247913461,0.0134275520181786
2022-11-28,0.0072273877035377,0.0029863430239651,0.007649835037302,-0.785103,-0.76629,189.26,183.38,20.5,20.350000381469727,1706460000.0,3279720000.0,0.0662370060863324,0.0699317378801226,-0.0011318879350677,-0.0106892660857977,-0.0097865165676728,0.1694176994151702,-0.0059700758884439,0.0004762693821452,0.0002185344447981,0.0060288247913461
2022-11-29,0.0075089052301068,0.0072273877035377,0.0029863430239651,-0.814903,-0.785103,183.05,189.26,22.209999084472656,20.5,3615430000.0,1706460000.0,0.0617718333904567,0.0662370060863324,0.0067720464109209,-0.0011318879350677,-0.0608299367172961,-0.0097865165676728,0.0019143094471534,-0.0059700758884439,0.0156218173472523,0.0002185344447981
2022-11-30,0.0124713939502977,0.0075089052301068,0.0072273877035377,-0.824605,-0.814903,90.52,183.05,21.88999938964844,22.209999084472656,3546040000.0,3615430000.0,0.0140712499941192,0.0617718333904567,0.0013114698802291,0.0067720464109209,0.1486587674369625,-0.0608299367172961,0.0165958517107933,0.0019143094471534,0.0018202584591679,0.0156218173472523
2022-12-01,0.0092740693105149,0.0124713939502977,0.0075089052301068,-0.834119,-0.824605,89.9,90.52,20.57999992370605,21.88999938964844,6579360000.0,3546040000.0,0.0660364886286109,0.0140712499941192,-0.0081779161441551,0.0013114698802291,0.2344906685254408,0.1486587674369625,0.0,0.0165958517107933,0.0302208426721033,0.0018202584591679
2022-12-02,0.0119043346372662,0.0092740693105149,0.0124713939502977,-0.843448,-0.834119,177.11,89.9,19.84000015258789,20.57999992370605,4527130000.0,6579360000.0,0.1145747415618524,0.0660364886286109,-0.0115816140722804,-0.0081779161441551,0.1976431262969273,0.2344906685254408,-0.0142081351677939,0.0,0.0004438744377652,0.0302208426721033
