,Realized Volatility,Return,ADS,US EPU Index,VIX Index,Volume,Sentiment Score,US Dollar Index_ret,Term Spread_ret,13w TB_ret
2016-01-07,0.0197771716092316,-0.0241332685965046,-0.25096,56.4,24.989999771118164,5076590000,0.0331783881112586,-0.009726511098624322,-0.016044981292499157,-0.07598591080363738
2016-01-08,0.0132769744379131,-0.0110793419782996,-0.237233,62.21,27.010000228881836,4664940000,-0.0013351798173251,0.00325269336738527,-0.02420049762299978,0.0
2016-01-11,0.0127320480481735,0.0008738258521881,-0.19863,65.1,24.299999237060547,4607290000,0.0,0.0019263192177703934,0.009322424396827686,-0.08223810271852436
2016-01-12,0.0133600373882336,0.0079850045993259,-0.186875,67.32,22.469999313354492,4887260000,0.0,0.002427900618163526,-0.054265536050216945,0.18232154260237213
2016-01-13,0.0143317699297748,-0.0253648898477563,-0.175703,130.12,25.219999313354492,5087030000,0.0183112476391253,-0.00040425382277587974,-0.025182565901281664,0.023530545265529484
2016-01-14,0.0127633456296536,0.0162822788043714,-0.165109,72.92,23.950000762939453,5241110000,0.0059370264603843,0.0016159586935050462,-0.011659581285330364,0.11000085622873218
2016-01-15,0.0225619069639735,-0.0216822781346149,-0.155088,67.14,27.020000457763672,5468460000,0.0313235572472052,-0.0013127722806576976,-0.03906444422940744,-0.07346710761272778
2016-01-19,0.0141404041388851,0.000659321985686,-0.124288,81.9,26.049999237060547,4928350000,0.0478135060390794,0.0003030945187068094,0.008903343193271029,0.03090753368621771
2016-01-20,0.0209029703438769,-0.0116874101565992,-0.120701,70.19,27.59000015258789,6416070000,0.0415802100799151,0.0010096777619507662,-0.06405506310297318,0.09531012679624117
2016-01-21,0.0172403871219007,0.0049568257706055,-0.118877,110.2,26.690000534057617,5078810000,0.0052414075563065,-0.00030278859904218447,-0.0025806901919932066,0.0760823483116044
2016-01-22,0.0135021275567963,0.0201832285542403,-0.118814,68.43,22.34000015258789,4901760000,-0.0157208452332641,0.005135208820696883,0.022147431942260567,0.053488634916561174
2016-01-25,0.0084322799344773,-0.0155597452373119,-0.127688,55.72,24.149999618530273,4401380000,0.0,-0.0021112870070575324,-0.0016863444092591077,-0.0461893177471587
2016-01-26,0.0113290756176309,0.0138748956222518,-0.13166,78.09,22.5,4357940000,0.0066387138124489,0.0,-0.05018353665074774,0.08701139505164275
2016-01-27,0.0141836997360702,-0.0108221077175404,-0.135889,39.01,23.110000610351562,4754040000,-0.0052463835171769,-0.0046403702708294236,-0.006230628751912938,0.0
2016-01-28,0.0160496049066635,0.0052645917080301,-0.140378,59.62,22.420000076293945,4693010000,0.0636162068171317,-0.003951166504163949,-0.033593636846251856,0.05826883314958008
2016-01-29,0.0086251949305007,0.0235909366709665,-0.145127,41.51,20.200000762939453,5497570000,-0.0025745679639905,0.011104479731481815,-0.045333547443287166,-0.05826883314957995
2016-02-01,0.0110871984515025,0.0003095096875446,-0.162261,183.2,19.979999542236328,4322530000,0.0,-0.006142717149896857,0.04993972333081669,-0.01680720250373277
2016-02-02,0.010957471898344,-0.0186581706435241,-0.169728,117.91,21.979999542236328,4463190000,0.0457347762462527,-0.001313966445817438,-0.13458238655930468,0.11211738230805766
2016-02-03,0.01661210963433,0.0050162727481085,-0.177822,73.51,21.649999618530273,5172950000,0.0524618803900849,-0.01610966529114382,-0.011634195082472178,0.009049808670979587
2016-02-04,0.0135683519840841,0.0014629204586074,-0.186546,40.73,21.84000015258789,5193320000,-0.0767624150300805,-0.008464126561459383,0.028318630615368996,-0.16269563218368857
2016-02-05,0.0119183752933023,-0.0186921330121525,-0.195904,41.41,23.3799991607666,4929940000,-0.0213141427978508,0.0057881046203615,0.005157304060827428,-0.017825767285058483
2016-02-08,0.0171314951744148,-0.0140834194632803,-0.227298,88.26,26.0,5636460000,-0.010989326827217,-0.004752065637855208,-0.08813436075085555,-0.06693950906344193
2016-02-09,0.0172389248664758,-0.0005936095410862,-0.238198,38.4,26.540000915527344,5183220000,0.0532821759407239,-0.00519104157362651,-0.040120025121127306,0.1431009200568845
2016-02-10,0.0128462412730728,-0.000453539233518,-0.249237,77.84,26.290000915527344,4471170000,0.0417759540041455,-0.0018753944445813989,-0.008220762404211927,-0.006689001485168603
2016-02-11,0.0174656396696771,-0.0125208139504798,-0.260419,106.25,28.139999389648438,5500800000,0.0,-0.003447397891271171,-0.015448888591831944,-0.08762171073587674
2016-02-12,0.0098478187101703,0.0193721279907815,-0.271748,74.63,25.399999618530273,4696920000,0.016569288368435,0.004385574496247075,0.10667695775574595,-0.01104980343678087
2016-02-16,0.0096193155266744,0.0163164048442108,-0.317045,48.57,24.110000610351562,4570670000,0.0219023116882262,0.009230030386127384,0.018133819589920292,0.01104980343678087
2016-02-17,0.0085703078170457,0.0164645939081685,-0.327594,108.64,22.309999465942383,5011540000,0.0004536119591119,-0.0008262091716695627,0.026083967307796246,0.07070084997239183
2016-02-18,0.0065922886950528,-0.0046460289339734,-0.33779,117.33,21.639999389648438,4436490000,0.0157040706506545,0.00165165759111259,-0.048532700351947365,-0.017212215055830597
2016-02-19,0.0083701425553857,-2.085951637287834e-05,-0.347635,85.85,20.530000686645508,4142850000,0.0028246817949968,-0.0036166247883896467,0.019272424309349917,-0.017513566403900064
2016-02-22,0.0082086724093481,0.0143214625472564,-0.37551,55.88,19.3799991607666,4054710000,-0.0045700544279524,0.008042097127144503,0.006342529064213671,0.034725781459730515
2016-02-23,0.0070509262619921,-0.012393796301341,-0.384801,57.33,20.979999542236328,3890650000,-0.0375642991708936,0.00102644064438831,-0.053013932036501,0.08187869539823345
