,Realized Volatility,Return,ADS,US EPU Index,13w TB,VIX Index,US Dollar Index,Term Spread,Volume,Sentiment Score
2016-01-04,0.018643945551492,-0.0151212136141966,-0.294595,106.94,0.1550000011920929,20.700000762939453,98.87000274658203,1.5800000131130219,4304880000,0.0229023629072951
2016-01-05,0.0079117974986888,0.0019603421738788,-0.279636,52.8,0.20499999821186066,19.34000015258789,99.4000015258789,1.5189999788999557,3706620000,0.0030261071978673
2016-01-06,0.0140944883020988,-0.0131329171445128,-0.265093,30.4,0.20499999821186066,20.59000015258789,99.18000030517578,1.4449999779462814,4336660000,0.0028116896194687
2016-01-07,0.0197771716092316,-0.0241332685965046,-0.25096,56.4,0.1899999976158142,24.989999771118164,98.22000122070312,1.421999990940094,5076590000,0.0331783881112586
2016-01-08,0.0132769744379131,-0.0110793419782996,-0.237233,62.21,0.1899999976158142,27.010000228881836,98.54000091552734,1.387999951839447,4664940000,-0.0013351798173251
2016-01-11,0.0127320480481735,0.0008738258521881,-0.19863,65.1,0.17499999701976776,24.299999237060547,98.7300033569336,1.4009999781847,4607290000,0.0
2016-01-12,0.0133600373882336,0.0079850045993259,-0.186875,67.32,0.20999999344348907,22.469999313354492,98.97000122070312,1.3269999474287033,4887260000,0.0
2016-01-13,0.0143317699297748,-0.0253648898477563,-0.175703,130.12,0.2150000035762787,25.219999313354492,98.93000030517578,1.2939999401569366,5087030000,0.0183112476391253
2016-01-14,0.0127633456296536,0.0162822788043714,-0.165109,72.92,0.23999999463558197,23.950000762939453,99.08999633789062,1.2790000587701797,5241110000,0.0059370264603843
2016-01-15,0.0225619069639735,-0.0216822781346149,-0.155088,67.14,0.22300000488758087,27.020000457763672,98.95999908447266,1.2299999445676804,5468460000,0.0313235572472052
2016-01-19,0.0141404041388851,0.000659321985686,-0.124288,81.9,0.23000000417232513,26.049999237060547,98.98999786376953,1.2409999519586563,4928350000,0.0478135060390794
2016-01-20,0.0209029703438769,-0.0116874101565992,-0.120701,70.19,0.2529999911785126,27.59000015258789,99.08999633789062,1.1640000641345978,6416070000,0.0415802100799151
2016-01-21,0.0172403871219007,0.0049568257706055,-0.118877,110.2,0.27300000190734863,26.690000534057617,99.05999755859375,1.1610000133514404,5078810000,0.0052414075563065
2016-01-22,0.0135021275567963,0.0201832285542403,-0.118814,68.43,0.2879999876022339,22.34000015258789,99.56999969482422,1.187000036239624,4901760000,-0.0157208452332641
2016-01-25,0.0084322799344773,-0.0155597452373119,-0.127688,55.72,0.2750000059604645,24.149999618530273,99.36000061035156,1.1850000321865082,4401380000,0.0
2016-01-26,0.0113290756176309,0.0138748956222518,-0.13166,78.09,0.30000001192092896,22.5,99.36000061035156,1.1270000338554382,4357940000,0.0066387138124489
2016-01-27,0.0141836997360702,-0.0108221077175404,-0.135889,39.01,0.30000001192092896,23.110000610351562,98.9000015258789,1.1199999451637268,4754040000,-0.0052463835171769
2016-01-28,0.0160496049066635,0.0052645917080301,-0.140378,59.62,0.3179999887943268,22.420000076293945,98.51000213623047,1.0830000340938568,4693010000,0.0636162068171317
2016-01-29,0.0086251949305007,0.0235909366709665,-0.145127,41.51,0.30000001192092896,20.200000762939453,99.61000061035156,1.0350000262260437,5497570000,-0.0025745679639905
2016-02-01,0.0110871984515025,0.0003095096875446,-0.162261,183.2,0.29499998688697815,19.979999542236328,99.0,1.0880000293254852,4322530000,0.0
2016-02-02,0.010957471898344,-0.0186581706435241,-0.169728,117.91,0.33000001311302185,21.979999542236328,98.87000274658203,0.9510000050067902,4463190000,0.0457347762462527
2016-02-03,0.01661210963433,0.0050162727481085,-0.177822,73.51,0.3330000042915344,21.649999618530273,97.29000091552734,0.9399999976158142,5172950000,0.0524618803900849
2016-02-04,0.0135683519840841,0.0014629204586074,-0.186546,40.73,0.28299999237060547,21.84000015258789,96.47000122070312,0.9670000076293945,5193320000,-0.0767624150300805
2016-02-05,0.0119183752933023,-0.0186921330121525,-0.195904,41.41,0.27799999713897705,23.3799991607666,97.02999877929688,0.972000002861023,4929940000,-0.0213141427978508
2016-02-08,0.0171314951744148,-0.0140834194632803,-0.227298,88.26,0.25999999046325684,26.0,96.56999969482422,0.8899999856948853,5636460000,-0.010989326827217
2016-02-09,0.0172389248664758,-0.0005936095410862,-0.238198,38.4,0.30000001192092896,26.540000915527344,96.06999969482422,0.8549999594688416,5183220000,0.0532821759407239
2016-02-10,0.0128462412730728,-0.000453539233518,-0.249237,77.84,0.2980000078678131,26.290000915527344,95.88999938964844,0.8480000197887421,4471170000,0.0417759540041455
2016-02-11,0.0174656396696771,-0.0125208139504798,-0.260419,106.25,0.27300000190734863,28.139999389648438,95.55999755859375,0.8350000381469727,5500800000,0.0
2016-02-12,0.0098478187101703,0.0193721279907815,-0.271748,74.63,0.27000001072883606,25.399999618530273,95.9800033569336,0.9289999902248383,4696920000,0.016569288368435
2016-02-16,0.0096193155266744,0.0163164048442108,-0.317045,48.57,0.27300000190734863,24.110000610351562,96.87000274658203,0.9459999799728394,4570670000,0.0219023116882262
2016-02-17,0.0085703078170457,0.0164645939081685,-0.327594,108.64,0.2930000126361847,22.309999465942383,96.79000091552734,0.9710000455379486,5011540000,0.0004536119591119
2016-02-18,0.0065922886950528,-0.0046460289339734,-0.33779,117.33,0.2879999876022339,21.639999389648438,96.94999694824219,0.9250000715255737,4436490000,0.0157040706506545
2016-02-19,0.0083701425553857,-2.085951637287834e-05,-0.347635,85.85,0.28299999237060547,20.530000686645508,96.5999984741211,0.9429999589920044,4142850000,0.0028246817949968
