,Realized Volatility,Realized Volatility_lag_1,Realized Volatility_lag_2,US EPU Index_lag_1,VIX Index_lag_1,Volume_lag_2,Term Spread_ret_lag_2,13w TB_ret_lag_1,13w TB_ret_lag_2,Abs Return_lag_1,Sentiment Score_lag_1
2016-01-11,0.0127320480481735,0.0132769744379131,0.0197771716092316,62.21,27.01000022888184,5076590000.0,-0.0160449812924991,0.0,-0.0759859108036373,0.0110793419782996,0.0013351798173251
2016-01-12,0.0133600373882336,0.0127320480481735,0.0132769744379131,65.1,24.299999237060547,4664940000.0,-0.0242004976229997,-0.0822381027185243,0.0,0.0008738258521881,0.0
2016-01-13,0.0143317699297748,0.0133600373882336,0.0127320480481735,67.32,22.46999931335449,4607290000.0,0.0093224243968276,0.1823215426023721,-0.0822381027185243,0.0079850045993259,0.0
2016-01-14,0.0127633456296536,0.0143317699297748,0.0133600373882336,130.12,25.21999931335449,4887260000.0,-0.0542655360502169,0.0235305452655294,0.1823215426023721,0.0253648898477563,0.0183112476391253
2016-01-15,0.0225619069639735,0.0127633456296536,0.0143317699297748,72.92,23.950000762939453,5087030000.0,-0.0251825659012816,0.1100008562287321,0.0235305452655294,0.0162822788043714,0.0059370264603843
2016-01-19,0.0141404041388851,0.0225619069639735,0.0127633456296536,67.14,27.020000457763672,5241110000.0,-0.0116595812853303,-0.0734671076127277,0.1100008562287321,0.0216822781346149,0.0313235572472052
2016-01-20,0.0209029703438769,0.0141404041388851,0.0225619069639735,81.9,26.049999237060547,5468460000.0,-0.0390644442294074,0.0309075336862177,-0.0734671076127277,0.000659321985686,0.0478135060390794
2016-01-21,0.0172403871219007,0.0209029703438769,0.0141404041388851,70.19,27.59000015258789,4928350000.0,0.008903343193271,0.0953101267962411,0.0309075336862177,0.0116874101565992,0.0415802100799151
2016-01-22,0.0135021275567963,0.0172403871219007,0.0209029703438769,110.2,26.690000534057617,6416070000.0,-0.0640550631029731,0.0760823483116044,0.0953101267962411,0.0049568257706055,0.0052414075563065
2016-01-25,0.0084322799344773,0.0135021275567963,0.0172403871219007,68.43,22.34000015258789,5078810000.0,-0.0025806901919932,0.0534886349165611,0.0760823483116044,0.0201832285542403,0.0157208452332641
2016-01-26,0.0113290756176309,0.0084322799344773,0.0135021275567963,55.72,24.149999618530277,4901760000.0,0.0221474319422605,-0.0461893177471587,0.0534886349165611,0.0155597452373119,0.0
2016-01-27,0.0141836997360702,0.0113290756176309,0.0084322799344773,78.09,22.5,4401380000.0,-0.0016863444092591,0.0870113950516427,-0.0461893177471587,0.0138748956222518,0.0066387138124489
2016-01-28,0.0160496049066635,0.0141836997360702,0.0113290756176309,39.01,23.11000061035156,4357940000.0,-0.0501835366507477,0.0,0.0870113950516427,0.0108221077175404,0.0052463835171769
2016-01-29,0.0086251949305007,0.0160496049066635,0.0141836997360702,59.62,22.420000076293945,4754040000.0,-0.0062306287519129,0.05826883314958,0.0,0.0052645917080301,0.0636162068171317
2016-02-01,0.0110871984515025,0.0086251949305007,0.0160496049066635,41.51,20.200000762939453,4693010000.0,-0.0335936368462518,-0.0582688331495799,0.05826883314958,0.0235909366709665,0.0025745679639905
2016-02-02,0.010957471898344,0.0110871984515025,0.0086251949305007,183.2,19.979999542236328,5497570000.0,-0.0453335474432871,-0.0168072025037327,-0.0582688331495799,0.0003095096875446,0.0
2016-02-03,0.01661210963433,0.010957471898344,0.0110871984515025,117.91,21.979999542236328,4322530000.0,0.0499397233308166,0.1121173823080576,-0.0168072025037327,0.0186581706435241,0.0457347762462527
2016-02-04,0.0135683519840841,0.01661210963433,0.010957471898344,73.51,21.649999618530277,4463190000.0,-0.1345823865593046,0.0090498086709795,0.1121173823080576,0.0050162727481085,0.0524618803900849
2016-02-05,0.0119183752933023,0.0135683519840841,0.01661210963433,40.73,21.84000015258789,5172950000.0,-0.0116341950824721,-0.1626956321836885,0.0090498086709795,0.0014629204586074,0.0767624150300805
2016-02-08,0.0171314951744148,0.0119183752933023,0.0135683519840841,41.41,23.3799991607666,5193320000.0,0.0283186306153689,-0.0178257672850584,-0.1626956321836885,0.0186921330121525,0.0213141427978508
2016-02-09,0.0172389248664758,0.0171314951744148,0.0119183752933023,88.26,26.0,4929940000.0,0.0051573040608274,-0.0669395090634419,-0.0178257672850584,0.0140834194632803,0.010989326827217
2016-02-10,0.0128462412730728,0.0172389248664758,0.0171314951744148,38.4,26.540000915527344,5636460000.0,-0.0881343607508555,0.1431009200568845,-0.0669395090634419,0.0005936095410862,0.0532821759407239
2016-02-11,0.0174656396696771,0.0128462412730728,0.0172389248664758,77.84,26.290000915527344,5183220000.0,-0.0401200251211273,-0.0066890014851686,0.1431009200568845,0.000453539233518,0.0417759540041455
2016-02-12,0.0098478187101703,0.0174656396696771,0.0128462412730728,106.25,28.13999938964844,4471170000.0,-0.0082207624042119,-0.0876217107358767,-0.0066890014851686,0.0125208139504798,0.0
2016-02-16,0.0096193155266744,0.0098478187101703,0.0174656396696771,74.63,25.399999618530277,5500800000.0,-0.0154488885918319,-0.0110498034367808,-0.0876217107358767,0.0193721279907815,0.016569288368435
2016-02-17,0.0085703078170457,0.0096193155266744,0.0098478187101703,48.57,24.11000061035156,4696920000.0,0.1066769577557459,0.0110498034367808,-0.0110498034367808,0.0163164048442108,0.0219023116882262
2016-02-18,0.0065922886950528,0.0085703078170457,0.0096193155266744,108.64,22.309999465942383,4570670000.0,0.0181338195899202,0.0707008499723918,0.0110498034367808,0.0164645939081685,0.0004536119591119
