,Realized Volatility,Realized Volatility_lag_1,Volume_lag_1,Volume_lag_2,Sentiment Score_lag_1,Sentiment Score_lag_2,Dollar_index_ret_lag_1,Dollar_index_ret_lag_2,term_spread_ret_lag_1,term_spread_ret_lag_2,13w TB_ret_lag_1,13w TB_ret_lag_2,Abs Return_lag_1,Abs Return_lag_2,Realized Volatility_lag_1_power_2,ADS_lag_1_power_2,US Policy Index_lag_1_power_2,VIX_lag_1_power_2,Volume_lag_1_power_2,Sentiment Score_lag_1_power_2,Dollar_index_ret_lag_1_power_2,term_spread_ret_lag_1_power_2,13w TB_ret_lag_1_power_2,Abs Return_lag_1_power_2
2016-01-11,0.0127320480481735,0.0132769744379131,4664940000.0,5076590000.0,0.0013351798173251,0.0331783881112586,0.0032526933673852,-0.0097265110986243,-0.0242004976229997,-0.0160449812924991,0.0,-0.0759859108036373,0.0110793419782996,0.0241332685965046,0.0001762780502249979,0.056279496289,3870.0841,729.5401123641971,2.17616652036e+19,1.7827051445922877e-06,1.0580014142231672e-05,0.000585664085200814,0.0,0.0001227518186721117
2016-01-12,0.0133600373882336,0.0127320480481735,4607290000.0,4664940000.0,0.0,0.0013351798173251,0.0019263192177703,0.0032526933673852,0.0093224243968276,-0.0242004976229997,-0.0822381027185243,0.0,0.0008738258521881,0.0110793419782996,0.0001621050475009986,0.0394538769,4238.009999999999,590.4899629211432,2.12271211441e+19,0.0,3.7107057287511805e-06,8.690759663456643e-05,0.006763105538742554,7.635716199522592e-07
2016-01-13,0.0143317699297748,0.0133600373882336,4887260000.0,4607290000.0,0.0,0.0,0.0024279006181635,0.0019263192177703,-0.0542655360502169,0.0093224243968276,0.1823215426023721,-0.0822381027185243,0.0079850045993259,0.0008738258521881,0.00017849059901499966,0.034922265625000004,4531.982399999999,504.9008691421512,2.38853103076e+19,0.0,5.894701411678706e-06,0.00294474840281739,0.03324114489690858,6.376029845125577e-05
2016-01-14,0.0127633456296536,0.0143317699297748,5087030000.0,4887260000.0,0.0183112476391253,0.0,-0.0004042538227758,0.0024279006181635,-0.0251825659012816,-0.0542655360502169,0.0235305452655294,0.1823215426023721,0.0253648898477563,0.0079850045993259,0.00020539962931999717,0.030871544209,16931.2144,636.0483653656008,2.58778742209e+19,0.0003353017901013719,1.634211532288479e-07,0.0006341616253723906,0.0005536865604931281,0.0006433776369888106
2016-01-15,0.0225619069639735,0.0127633456296536,5241110000.0,5087030000.0,0.0059370264603843,0.0183112476391253,0.001615958693505,-0.0004042538227758,-0.0116595812853303,-0.0251825659012816,0.1100008562287321,0.0235305452655294,0.0162822788043714,0.0253648898477563,0.00016290299166199767,0.027260981881000002,5317.3264,573.6025365448004,2.74692340321e+19,3.5248283191303326e-05,2.6113224991143866e-06,0.00013594583574922457,0.012100188371054189,0.00026511260306328217
2016-01-19,0.0141404041388851,0.0225619069639735,5468460000.0,5241110000.0,0.0313235572472052,0.0059370264603843,-0.0013127722806576,0.001615958693505,-0.0390644442294074,-0.0116595812853303,-0.0734671076127277,0.1100008562287321,0.0216822781346149,0.0162822788043714,0.0005090396458509959,0.024052287744000003,4507.7796,730.080424737549,2.99040547716e+19,0.0009811652386189417,1.7233710608629567e-06,0.001526030802952481,0.0053974159009801135,0.0004701211851067993
2016-01-20,0.0209029703438769,0.0141404041388851,4928350000.0,5468460000.0,0.0478135060390794,0.0313235572472052,0.0003030945187068,-0.0013127722806576,0.008903343193271,-0.0390644442294074,0.0309075336862177,-0.0734671076127277,0.000659321985686,0.0216822781346149,0.00019995102921099888,0.015447506944,6707.610000000001,678.6024602508551,2.42886337225e+19,0.002286131359749082,9.186628727010674e-08,7.926952001716503e-05,0.000955275638564682,4.3470548080893e-07
2016-01-21,0.0172403871219007,0.0209029703438769,6416070000.0,4928350000.0,0.0415802100799151,0.0478135060390794,0.0010096777619507,0.0003030945187068,-0.0640550631029731,0.008903343193271,0.0953101267962411,0.0309075336862177,0.0116874101565992,0.000659321985686,0.0004369341691969971,0.014568731401,4926.6361,761.2081084197998,4.11659542449e+19,0.0017289138702898735,1.0194491829777746e-06,0.004103051109125865,0.009084020269915555,0.0001365955561685781
2016-01-22,0.0135021275567963,0.0172403871219007,5078810000.0,6416070000.0,0.0052414075563065,0.0415802100799151,-0.0003027885990421,0.0010096777619507,-0.0025806901919932,-0.0640550631029731,0.0760823483116044,0.0953101267962411,0.0049568257706055,0.0116874101565992,0.0002972309481129995,0.014131741129,12144.04,712.3561285079959,2.57943110161e+19,2.7472353171306877e-05,9.16809357098776e-08,6.6599618670499e-06,0.005788523724608294,2.457012172013881e-05
2016-01-25,0.0084322799344773,0.0135021275567963,4901760000.0,5078810000.0,0.0157208452332641,0.0052414075563065,0.0051352088206968,-0.0003027885990421,0.0221474319422605,-0.0025806901919932,0.0534886349165611,0.0760823483116044,0.0201832285542403,0.0049568257706055,0.000182307448559998,0.014116766596,4682.664900000001,499.075606817627,2.40272510976e+19,0.0002471449748482426,2.637036963216222e-05,0.0004905087416370608,0.002861034065237159,0.000407362714872701
2016-01-26,0.0113290756176309,0.0084322799344773,4401380000.0,4901760000.0,0.0,0.0157208452332641,-0.0021112870070575,0.0051352088206968,-0.0016863444092591,0.0221474319422605,-0.0461893177471587,0.0534886349165611,0.0155597452373119,0.0201832285542403,7.110334489338851e-05,0.016304225344,3104.7183999999997,583.2224815750126,1.93721459044e+19,0.0,4.457532826169815e-06,2.8437574666394225e-06,0.0021334530739479892,0.0002421056718500504
